candidate_id,duplicate_ids,types,max_similarity,canonical_location,delete_locations,recommendation
C026,"D540,D664,D933",BLOCK|CLASS|FUNCTION,100.0,general/L4_runtime/facades/run_governance_facade.py,policies/L5_engines/run_governance_facade.py,DELETE_FROM_POLICIES
C027,D510,FUNCTION,100.0,general/L5_controls/drivers/guard_write_driver.py,general/L5_utils/time.py,DELETE_FROM_GENERAL
C028,"D511,D915",BLOCK|FUNCTION,100.0,general/L5_controls/drivers/guard_write_driver.py,incidents/L6_drivers/guard_write_driver.py,DELETE_FROM_INCIDENTS
C029,"D552,D553,D554,D555,D556,D557,D558,D559,D560,D681,D934",BLOCK|CLASS|FUNCTION,100.0,general/L5_controls/drivers/runtime_switch.py,general/L5_engines/runtime_switch.py,DELETE_FROM_GENERAL
C030,"D561,D562,D563,D564,D682,D683,D684,D685,D686,D687,D688,D689,D910",BLOCK|CLASS|FUNCTION,100.0,general/L5_controls/engines/degraded_mode_checker.py,general/L5_engines/degraded_mode_checker.py,DELETE_FROM_GENERAL
C031,"D597,D598,D599,D600,D601,D778,D779,D780,D781,D782,D783,D901",BLOCK|CLASS|FUNCTION,100.0,general/L5_engines/alert_log_linker.py,incidents/L5_engines/alert_log_linker.py,DELETE_FROM_INCIDENTS
C032,"D001,D602,D603,D784,D785,D786,D787",CLASS|EXACT_FILE|FUNCTION,100.0,general/L5_engines/audit_durability.py,general/L5_engines/durability.py,DELETE_FROM_GENERAL
C033,"D604,D607,D788,D791,D794,D904",BLOCK|CLASS|FUNCTION,100.0,general/L5_engines/audit_store.py,logs/L6_drivers/audit_store.py,DELETE_FROM_LOGS
C034,"D605,D608,D789,D792,D795",CLASS|FUNCTION,100.0,general/L5_engines/audit_store.py,logs/L6_drivers/store.py,DELETE_FROM_LOGS
C035,"D610,D797,D798,D799,D800,D801,D802,D803,D906",BLOCK|CLASS|FUNCTION,100.0,general/L5_engines/compliance_facade.py,logs/L5_engines/compliance_facade.py,DELETE_FROM_LOGS
C036,"D690,D691,D692,D908",BLOCK|CLASS,100.0,general/L5_workflow/contracts/engines/contract_engine.py,general/L5_engines/contract_engine.py,DELETE_FROM_GENERAL
C037,"D611,D804,D805,D806,D807,D808,D909",BLOCK|CLASS|FUNCTION,100.0,general/L5_engines/control_registry.py,logs/L5_engines/control_registry.py,DELETE_FROM_LOGS
C038,D809,CLASS,100.0,general/L5_engines/cus_credential_service.py,integrations/L5_vault/engines/cus_credential_engine.py,DELETE_FROM_INTEGRATIONS
C039,"D612,D613,D614,D615,D616,D810,D811,D812,D813,D814,D815,D816,D817,D913",BLOCK|CLASS|FUNCTION,100.0,general/L5_engines/fatigue_controller.py,policies/L5_engines/fatigue_controller.py,DELETE_FROM_POLICIES
C040,D513,FUNCTION,100.0,general/L6_drivers/cross_domain.py,general/L5_engines/knowledge_lifecycle_manager.py,DELETE_FROM_GENERAL
C041,D518,FUNCTION,100.0,general/L5_engines/knowledge_lifecycle_manager.py,incidents/L5_engines/incident_engine.py,DELETE_FROM_INCIDENTS
C042,D519,FUNCTION,100.0,general/L5_engines/knowledge_lifecycle_manager.py,logs/L5_engines/mapper.py,DELETE_FROM_LOGS
C043,D520,FUNCTION,100.0,general/L5_engines/knowledge_lifecycle_manager.py,policies/L5_engines/lessons_engine.py,DELETE_FROM_POLICIES
C044,D521,FUNCTION,100.0,general/L5_engines/knowledge_lifecycle_manager.py,policies/L5_engines/mapper.py,DELETE_FROM_POLICIES
C045,"D617,D661,D818,D819,D820,D821,D822,D919",BLOCK|CLASS|FUNCTION,100.0,general/L5_engines/lifecycle_facade.py,general/L5_engines/lifecycle/lifecycle_facade.py,DELETE_FROM_GENERAL
C046,"D002,D772,D773,D774,D775,D776,D777",CLASS|EXACT_FILE,100.0,general/L5_lifecycle/engines/base.py,general/L5_engines/lifecycle_stages_base.py,DELETE_FROM_GENERAL
C047,"D618,D823,D824,D825,D826,D827,D828,D829,D922",BLOCK|CLASS|FUNCTION,100.0,general/L5_engines/monitors_facade.py,integrations/L5_engines/monitors_facade.py,DELETE_FROM_INTEGRATIONS
C048,"D619,D830,D831,D832,D833,D928",BLOCK|CLASS|FUNCTION,100.0,general/L5_engines/retrieval_facade.py,integrations/L5_engines/retrieval_facade.py,DELETE_FROM_INTEGRATIONS
C049,"D620,D621,D834,D835,D836,D837,D838,D839,D840,D841,D842,D843,D929",BLOCK|CLASS|FUNCTION,100.0,general/L5_engines/retrieval_mediator.py,integrations/L5_engines/retrieval_mediator.py,DELETE_FROM_INTEGRATIONS
C050,"D593,D594,D595,D596,D761,D762,D763,D764,D765,D766,D767,D768,D769,D770,D771,D912",BLOCK|CLASS|FUNCTION,100.0,general/L5_lifecycle/drivers/execution.py,integrations/L6_drivers/execution.py,DELETE_FROM_INTEGRATIONS
C051,"D583,D584,D590,D591,D592,D754,D755,D756,D757,D758,D759,D760,D918",BLOCK|CLASS|FUNCTION,100.0,general/L6_drivers/knowledge_plane.py,general/L5_lifecycle/drivers/knowledge_plane.py,DELETE_FROM_GENERAL
C052,D587,FUNCTION,100.0,general/L5_lifecycle/drivers/knowledge_plane.py,integrations/L5_schemas/datasource_model.py,DELETE_FROM_INTEGRATIONS
C053,D588,FUNCTION,100.0,general/L5_lifecycle/drivers/knowledge_plane.py,integrations/L6_drivers/connector_registry.py,DELETE_FROM_INTEGRATIONS
C054,D574,FUNCTION,100.0,general/L5_schemas/agent.py,general/L5_schemas/artifact.py,DELETE_FROM_GENERAL
C055,D575,FUNCTION,100.0,general/L5_schemas/agent.py,general/L5_schemas/plan.py,DELETE_FROM_GENERAL
C056,D576,FUNCTION,100.0,general/L5_schemas/artifact.py,general/L5_schemas/plan.py,DELETE_FROM_GENERAL
C057,"D577,D580,D732,D735,D738,D741,D744,D747,D750",CLASS|FUNCTION,100.0,general/L5_schemas/rac_models.py,logs/L5_schemas/audit_models.py,DELETE_FROM_LOGS
C058,"D578,D581,D733,D736,D739,D742,D745,D748,D751",CLASS|FUNCTION,100.0,general/L5_schemas/rac_models.py,logs/L5_schemas/models.py,DELETE_FROM_LOGS
C059,D753,CLASS,70.6,general/L5_schemas/skill.py,integrations/L5_engines/http_connector.py,DELETE_FROM_INTEGRATIONS
C060,"D572,D573,D724,D725,D726,D727,D728,D729,D730,D731,D917",BLOCK|CLASS|FUNCTION,100.0,general/L5_support/CRM/engines/job_executor.py,policies/L5_engines/job_executor.py,DELETE_FROM_POLICIES
C061,"D565,D566,D693,D694,D695,D696,D697,D698,D699,D700,D701,D702,D703,D930",BLOCK|CLASS|FUNCTION,100.0,general/L5_ui/engines/rollout_projection.py,policies/L5_engines/rollout_projection.py,DELETE_FROM_POLICIES
C062,D512,FUNCTION,100.0,general/L5_utils/time.py,incidents/L6_drivers/guard_write_driver.py,DELETE_FROM_INCIDENTS
C063,D514,FUNCTION,100.0,general/L6_drivers/cross_domain.py,incidents/L5_engines/incident_engine.py,DELETE_FROM_INCIDENTS
C064,D515,FUNCTION,100.0,general/L6_drivers/cross_domain.py,logs/L5_engines/mapper.py,DELETE_FROM_LOGS
C065,D516,FUNCTION,100.0,general/L6_drivers/cross_domain.py,policies/L5_engines/lessons_engine.py,DELETE_FROM_POLICIES
C066,D517,FUNCTION,100.0,general/L6_drivers/cross_domain.py,policies/L5_engines/mapper.py,DELETE_FROM_POLICIES
C067,D548,FUNCTION,100.0,general/L6_drivers/cross_domain.py,policies/L5_engines/policy_limits_engine.py,DELETE_FROM_POLICIES
C068,D549,FUNCTION,100.0,general/L6_drivers/cross_domain.py,policies/L5_engines/policy_rules_engine.py,DELETE_FROM_POLICIES
C069,D585,FUNCTION,100.0,general/L6_drivers/knowledge_plane.py,integrations/L5_schemas/datasource_model.py,DELETE_FROM_INTEGRATIONS
C070,D586,FUNCTION,100.0,general/L6_drivers/knowledge_plane.py,integrations/L6_drivers/connector_registry.py,DELETE_FROM_INTEGRATIONS
C071,"D622,D844,D845,D846,D847,D848,D849,D916",BLOCK|CLASS|FUNCTION,100.0,general/hallucination_detector.py,"incidents/L5_engines/hallucination_detector.py,policies/L5_engines/hallucination_detector.py",EXTRACT_TO_GENERAL
C072,D522,FUNCTION,100.0,general/incident_engine.py,"incidents/L5_engines/incident_engine.py,logs/L5_engines/mapper.py",EXTRACT_TO_GENERAL
C073,D523,FUNCTION,100.0,general/incident_engine.py,"incidents/L5_engines/incident_engine.py,policies/L5_engines/lessons_engine.py",EXTRACT_TO_GENERAL
C074,D524,FUNCTION,100.0,general/incident_engine.py,"incidents/L5_engines/incident_engine.py,policies/L5_engines/mapper.py",EXTRACT_TO_GENERAL
C075,"D650,D653",CLASS,83.3,general/notifications_base.py,"integrations/L3_adapters/notifications_base.py,integrations/L5_engines/notifications_facade.py",REVIEW_MERGE
C076,"D623,D624,D625,D626,D627,D852,D853,D854,D855,D856,D857,D858,D859,D860,D905",BLOCK|CLASS|FUNCTION,100.0,general/channel_engine.py,"integrations/L5_notifications/engines/channel_engine.py,integrations/L5_engines/channel_engine.py",EXTRACT_TO_GENERAL
C077,"D861,D862,D863,D864,D865,D866,D867,D921",BLOCK|CLASS,100.0,general/mcp_connector.py,"integrations/L5_engines/mcp_connector.py,policies/L5_engines/mcp_connector.py",EXTRACT_TO_GENERAL
C078,"D850,D851,D935",BLOCK|CLASS,100.0,general/service.py,"integrations/L5_vault/engines/service.py,integrations/L5_engines/service.py",EXTRACT_TO_GENERAL
C079,D589,FUNCTION,100.0,general/datasource_model.py,"integrations/L5_schemas/datasource_model.py,integrations/L6_drivers/connector_registry.py",EXTRACT_TO_GENERAL
C080,"D628,D629,D868,D869,D870,D871,D872,D873,D874,D903",BLOCK|CLASS|FUNCTION,100.0,general/audit_engine.py,"logs/L5_support/CRM/engines/audit_engine.py,logs/L5_engines/audit_engine.py",EXTRACT_TO_GENERAL
C081,D630,FUNCTION,100.0,general/job_execution.py,"logs/L6_drivers/job_execution.py,logs/L5_engines/audit_evidence.py",EXTRACT_TO_GENERAL
C082,"D631,D875",CLASS|FUNCTION,100.0,general/audit_reconciler.py,"logs/L5_engines/audit_reconciler.py,logs/L5_engines/reconciler.py",EXTRACT_TO_GENERAL
C083,"D632,D633,D876,D877,D878,D879",CLASS|FUNCTION,100.0,general/completeness_checker.py,"logs/L5_engines/completeness_checker.py,logs/L5_engines/export_completeness_checker.py",EXTRACT_TO_GENERAL
C084,D525,FUNCTION,100.0,general/mapper.py,"logs/L5_engines/mapper.py,policies/L5_engines/lessons_engine.py",EXTRACT_TO_GENERAL
C085,"D526,D634,D880,D920",BLOCK|CLASS|FUNCTION,100.0,general/mapper.py,"logs/L5_engines/mapper.py,policies/L5_engines/mapper.py",EXTRACT_TO_GENERAL
C086,"D881,D882,D883,D884,D885,D886,D887,D888,D927",BLOCK|CLASS,100.0,general/replay_determinism.py,"logs/L5_engines/replay_determinism.py,policies/L5_engines/replay_determinism.py",EXTRACT_TO_GENERAL
C087,"D579,D582,D734,D737,D740,D743,D746,D749,D752",CLASS|FUNCTION,100.0,general/audit_models.py,"logs/L5_schemas/audit_models.py,logs/L5_schemas/models.py",EXTRACT_TO_GENERAL
C088,"D606,D609,D790,D793,D796",CLASS|FUNCTION,100.0,general/audit_store.py,"logs/L6_drivers/audit_store.py,logs/L6_drivers/store.py",EXTRACT_TO_GENERAL
C089,D527,FUNCTION,100.0,general/lessons_engine.py,"policies/L5_engines/lessons_engine.py,policies/L5_engines/mapper.py",EXTRACT_TO_GENERAL
C090,"D528,D550",FUNCTION,100.0,general/policy_limits_engine.py,"policies/L5_engines/policy_limits_engine.py,policies/L5_engines/policy_rules_engine.py",EXTRACT_TO_GENERAL
