file_path,current_domain,layer,header_quality,role_text,v1_inferred_domain,v1_confidence,v2_inferred_domain,v2_confidence,v2_override,needs_split,evidence,notes
analytics/L5_engines/ai_console_panel_engine.py,analytics,L5 — Domain Engine,FULL,Main orchestration engine for panel evaluation,general,LOW,account,MEDIUM,YES,NO,phrase:tenant; code:tenant_,V2 OVERRIDE: general -> account; MISPLACED in analytics
analytics/L5_engines/alert_worker.py,analytics,L5 — Domain Engine,FULL,Alert queue processing decisions and orchestration,general,LOW,AMBIGUOUS,LOW,NO,YES,Close: activity=6 vs integrations=4,MISPLACED: currently in analytics
analytics/L5_engines/analytics_facade.py,analytics,L5 — Domain Engine,FULL,Analytics Facade - Centralized access to analytics domain operations,analytics,MEDIUM,analytics,HIGH,NO,NO,phrase:analytics; code:cost_; code:statistic; code:aggregate,V2 confidence: MEDIUM -> HIGH
analytics/L5_engines/canary.py,analytics,L5 — Domain Engine,FULL,"CostSim V2 canary runner (daily validation, drift detection)",activity,MEDIUM,analytics,HIGH,YES,NO,phrase:divergence; phrase:aggregate metric; phrase:kl divergence; code:cost_; code:divergence,V2 OVERRIDE: activity -> analytics
analytics/L5_engines/cb_sync_wrapper.py,analytics,L5 — Domain Engine,FULL,Circuit breaker sync wrapper (thread-safe async bridge),controls,MEDIUM,AMBIGUOUS,LOW,NO,YES,Close: activity=6 vs controls=5,MISPLACED: currently in analytics
analytics/L5_engines/config.py,analytics,L5 — Domain Engine,FULL,CostSim V2 configuration and feature flags,controls,MEDIUM,controls,MEDIUM,NO,NO,phrase:feature flag,MISPLACED: currently in analytics
analytics/L5_engines/coordinator.py,analytics,L5 — Domain Engine,FULL,Optimization envelope coordination,logs,MEDIUM,logs,HIGH,NO,NO,phrase:audit trail; phrase:audit; code:audit_,V2 confidence: MEDIUM -> HIGH
analytics/L5_engines/cost_anomaly_detector.py,analytics,L5 — Domain Engine,FULL,Cost anomaly detection business logic (System Truth),AMBIGUOUS,LOW,incidents,HIGH,YES,NO,phrase:severity; phrase:incident; code:incident_; code:severity_,V2 OVERRIDE: AMBIGUOUS -> incidents; MISPLACED in analytics
analytics/L5_engines/cost_model_engine.py,analytics,L5 — Domain Engine,FULL,Cost modeling and risk estimation domain authority (System Truth),analytics,MEDIUM,AMBIGUOUS,LOW,NO,YES,Close: integrations=4 vs apis=4,
analytics/L5_engines/cost_write_engine.py,analytics,L5 — Domain Engine,FULL,Cost write operations (L5 facade over L6 driver),analytics,LOW,analytics,MEDIUM,NO,NO,phrase:cost intelligence; code:cost_,V2 confidence: LOW -> MEDIUM
analytics/L5_engines/costsim_models.py,analytics,L5 — Domain Engine,FULL,"CostSim V2 data models (simulation status, results)",analytics,LOW,AMBIGUOUS,LOW,NO,YES,Close: analytics=6 vs activity=4,
analytics/L5_engines/datasets.py,analytics,L5 — Domain Engine,FULL,CostSim V2 reference datasets (validation samples),analytics,LOW,AMBIGUOUS,LOW,NO,YES,Close: integrations=4 vs analytics=2,
analytics/L5_engines/detection_facade.py,analytics,L5 — Domain Engine,FULL,Detection Facade - Centralized access to anomaly detection operations,AMBIGUOUS,LOW,AMBIGUOUS,LOW,NO,YES,Close: incidents=7 vs activity=6,Needs manual review
analytics/L5_engines/divergence.py,analytics,L5 — Domain Engine,FULL,"CostSim V2 divergence reporting (delta metrics, KL divergence)",analytics,HIGH,analytics,HIGH,NO,NO,phrase:divergence; phrase:kl divergence; phrase:computation,
analytics/L5_engines/envelope.py,analytics,L5 — Domain Engine,FULL,Base optimization envelope definition,AMBIGUOUS,LOW,logs,MEDIUM,YES,NO,phrase:audit; code:audit_,V2 OVERRIDE: AMBIGUOUS -> logs; MISPLACED in analytics
analytics/L5_engines/killswitch.py,analytics,L5 — Domain Engine,FULL,Optimization killswitch for emergency stops (pure state logic),AMBIGUOUS,LOW,AMBIGUOUS,LOW,NO,YES,Close: controls=5 vs logs=5,Needs manual review
analytics/L5_engines/manager.py,analytics,L5 — Domain Engine,FULL,Optimization envelope lifecycle management (pure logic),logs,LOW,AMBIGUOUS,LOW,NO,YES,Close: logs=7 vs controls=5,MISPLACED: currently in analytics
analytics/L5_engines/metrics.py,analytics,L5 — Domain Engine,FULL,"CostSim V2 Prometheus metrics (drift detection, circuit breaker)",AMBIGUOUS,LOW,analytics,HIGH,YES,NO,phrase:divergence; phrase:kl divergence; code:cost_; code:divergence,V2 OVERRIDE: AMBIGUOUS -> analytics
analytics/L5_engines/pattern_detection.py,analytics,L5 — Domain Engine,FULL,Pattern detection (PB-S3) - observe → feedback → no mutation (System Truth),activity,HIGH,activity,HIGH,NO,NO,phrase:run; phrase:trace,MISPLACED: currently in analytics
analytics/L5_engines/prediction.py,analytics,L5 — Domain Engine,FULL,Prediction generation and orchestration (advisory only),general,LOW,AMBIGUOUS,LOW,NO,YES,Close: activity=6 vs overview=4,MISPLACED: currently in analytics
analytics/L5_engines/provenance.py,analytics,L5 — Domain Engine,FULL,CostSim V2 provenance logging (full audit trail),logs,HIGH,logs,HIGH,NO,NO,phrase:audit trail; phrase:audit,MISPLACED: currently in analytics
analytics/L5_engines/s1_retry_backoff.py,analytics,L5 — Domain Engine,FULL,S1 Retry backoff envelope implementation,logs,LOW,apis,MEDIUM,YES,NO,phrase:scope,V2 OVERRIDE: logs -> apis; MISPLACED in analytics
analytics/L5_engines/s2_cost_smoothing.py,analytics,L5 — Domain Engine,FULL,S2 Cost smoothing envelope implementation,AMBIGUOUS,LOW,AMBIGUOUS,LOW,NO,YES,Close: apis=4 vs analytics=3,Needs manual review
analytics/L5_engines/sandbox.py,analytics,L5 — Domain Engine,FULL,"CostSim V2 sandbox routing (V1/V2 comparison, shadow mode)",analytics,LOW,controls,HIGH,YES,NO,phrase:circuit breaker; phrase:budget; code:circuit_breaker,V2 OVERRIDE: analytics -> controls; MISPLACED in analytics
analytics/L6_drivers/alert_driver.py,analytics,L6 — Domain Driver,FULL,Data access for alert queue operations,incidents,MEDIUM,AMBIGUOUS,LOW,NO,YES,Close: incidents=6 vs controls=5,MISPLACED: currently in analytics
analytics/L6_drivers/analytics_read_driver.py,analytics,L6 — Data Access Driver,FULL,Analytics read data access operations,activity,HIGH,activity,HIGH,NO,NO,phrase:run; phrase:trace,MISPLACED: currently in analytics
analytics/L6_drivers/audit_persistence.py,analytics,L6 — Domain Driver,FULL,Optimization audit trail persistence,logs,HIGH,logs,HIGH,NO,NO,phrase:audit trail; phrase:audit,MISPLACED: currently in analytics
analytics/L6_drivers/circuit_breaker.py,analytics,L6 — Domain Driver,FULL,DB-backed circuit breaker state tracking (sync) — L6 DOES NOT COMMIT,AMBIGUOUS,LOW,AMBIGUOUS,LOW,NO,YES,Close: incidents=9 vs controls=7,Needs manual review
analytics/L6_drivers/circuit_breaker_async.py,analytics,L6 — Domain Driver,FULL,Async DB-backed circuit breaker state tracking,AMBIGUOUS,LOW,AMBIGUOUS,LOW,NO,YES,Close: controls=7 vs incidents=6,Needs manual review
analytics/L6_drivers/cost_anomaly_driver.py,analytics,L6 — Domain Driver,FULL,Data access for cost anomaly detection operations,analytics,LOW,account,MEDIUM,YES,NO,phrase:tenant; code:tenant_,V2 OVERRIDE: analytics -> account; MISPLACED in analytics
analytics/L6_drivers/cost_write_driver.py,analytics,L6 — Domain Driver,FULL,Data access for cost write operations,AMBIGUOUS,LOW,account,MEDIUM,YES,NO,phrase:tenant; code:tenant_,V2 OVERRIDE: AMBIGUOUS -> account; MISPLACED in analytics
analytics/L6_drivers/leader.py,analytics,L6 — Domain Driver,FULL,CostSim Leader Election via PostgreSQL Advisory Locks,analytics,LOW,activity,MEDIUM,YES,NO,phrase:run,V2 OVERRIDE: analytics -> activity; MISPLACED in analytics
analytics/L6_drivers/pattern_detection_driver.py,analytics,L6 — Data Access Driver,FULL,Pattern detection data access operations,activity,MEDIUM,AMBIGUOUS,LOW,NO,YES,Close: activity=7 vs incidents=6,MISPLACED: currently in analytics
analytics/L6_drivers/prediction_driver.py,analytics,L6 — Domain Driver,FULL,Data access for prediction operations,activity,MEDIUM,activity,HIGH,NO,NO,phrase:worker run; phrase:run; code:run_,V2 confidence: MEDIUM -> HIGH
analytics/L6_drivers/provenance_async.py,analytics,L6 — Domain Driver,FULL,CostSim V2 Provenance Logger - Async Implementation,AMBIGUOUS,LOW,AMBIGUOUS,LOW,NO,YES,Close: activity=6 vs account=6,Needs manual review
api_keys/L5_engines/api_keys_facade.py,api_keys,L5 — Domain Engine,FULL,API Keys domain engine - unified entry point for API key operations,apis,HIGH,apis,HIGH,NO,NO,phrase:api key; phrase:key,MISPLACED: currently in api_keys
api_keys/L5_engines/email_verification.py,api_keys,L5 — Domain Engine,FULL,Email OTP verification engine for customer onboarding,AMBIGUOUS,LOW,apis,MEDIUM,YES,NO,phrase:key; code:api_key,V2 OVERRIDE: AMBIGUOUS -> apis; MISPLACED in api_keys
api_keys/L5_engines/keys_engine.py,api_keys,L5 — Domain Engine,FULL,API Keys domain engine - business logic for key operations,logs,LOW,account,MEDIUM,YES,NO,phrase:tenant; code:tenant_,V2 OVERRIDE: logs -> account; MISPLACED in api_keys
api_keys/L6_drivers/api_keys_facade_driver.py,api_keys,L6 — Domain Driver,FULL,API Keys Facade Driver - Pure data access for API key queries,apis,HIGH,apis,HIGH,NO,NO,phrase:api key; phrase:key,MISPLACED: currently in api_keys
api_keys/L6_drivers/keys_driver.py,api_keys,L6 — Domain Driver,FULL,Keys Driver - Pure data access for API key engine operations,apis,HIGH,apis,HIGH,NO,NO,phrase:api key; phrase:key,MISPLACED: currently in api_keys
duplicates/M17_internal_worker.py,duplicates,L2 — Product APIs,FULL,M17 Internal Worker Registry - WorkerRegistry/WorkerConfig catalog (DEPRECATED),AMBIGUOUS,LOW,AMBIGUOUS,LOW,NO,YES,Close: integrations=6 vs account=6,Needs manual review
duplicates/api.py,duplicates,L2 — API Route (MISPLACED IN engines/),FULL,C2 Prediction API routes,apis,LOW,AMBIGUOUS,LOW,NO,YES,Close: incidents=6 vs policies=4,MISPLACED: currently in duplicates
duplicates/cost_anomaly_detector.py,duplicates,L8 — Catalyst / Meta,FULL,QUARANTINED - Cost anomaly decision logic (pending domain reassignment),AMBIGUOUS,LOW,incidents,HIGH,YES,NO,phrase:severity; phrase:incident; code:incident_; code:severity_,V2 OVERRIDE: AMBIGUOUS -> incidents; MISPLACED in duplicates
duplicates/pattern_detection.py,duplicates,L8 — Catalyst / Meta,FULL,QUARANTINED - Pattern detection decision logic (pending domain reassignment),logs,LOW,AMBIGUOUS,LOW,NO,YES,Close: activity=6 vs overview=4,MISPLACED: currently in duplicates
general/L3_mcp/server_registry.py,general,L6 — Domain Driver,FULL,Registry for external MCP servers (cross-domain within customer audience),integrations,MEDIUM,AMBIGUOUS,LOW,NO,YES,Close: account=6 vs logs=5,MISPLACED: currently in general
general/L4_runtime/drivers/transaction_coordinator.py,general,L4 — Runtime Coordinator,FULL,Transaction Coordinator for atomic cross-domain writes — OWNS COMMIT AUTHORITY,general,MEDIUM,AMBIGUOUS,LOW,NO,YES,Close: logs=7 vs policies=6,
general/L4_runtime/engines/constraint_checker.py,general,L5 — Domain Engine,FULL,Enforce MonitorConfig inspection constraints before logging (pure business logic),AMBIGUOUS,LOW,AMBIGUOUS,LOW,NO,YES,Close: overview=5 vs logs=3,Needs manual review
general/L4_runtime/engines/governance_orchestrator.py,general,L4 — Domain Engine,FULL,Governance Orchestrator - orchestrates contract execution,general,HIGH,general,HIGH,NO,NO,phrase:governance orchestrat; phrase:orchestrator,
general/L4_runtime/engines/phase_status_invariants.py,general,L5 — Domain Engine,FULL,Phase-status invariant enforcement from GovernanceConfig (pure business logic),AMBIGUOUS,LOW,activity,MEDIUM,YES,NO,phrase:run,V2 OVERRIDE: AMBIGUOUS -> activity; MISPLACED in general
general/L4_runtime/engines/plan_generation_engine.py,general,L4 — Domain Engine (System Truth),FULL,Plan generation (domain logic),logs,LOW,AMBIGUOUS,LOW,NO,YES,Close: activity=4 vs controls=3,MISPLACED: currently in general
general/L4_runtime/facades/run_governance_facade.py,general,L3 — Adapter,FULL,Run Governance Facade - Centralized access to governance operations for runs,activity,MEDIUM,AMBIGUOUS,LOW,NO,YES,Close: logs=7 vs policies=6,MISPLACED: currently in general
general/L5_controls/drivers/guard_write_driver.py,general,L6 — Domain Driver,FULL,Data access for guard/killswitch write operations,incidents,HIGH,incidents,HIGH,NO,NO,phrase:incident; phrase:guard,MISPLACED: currently in general
general/L5_controls/engines/guard_write_engine.py,general,L5 — Domain Engine,FULL,Guard write operations (L5 engine delegating to L6 driver) - pure business logic,AMBIGUOUS,LOW,incidents,HIGH,YES,NO,phrase:incident; phrase:guard; code:guard_,V2 OVERRIDE: AMBIGUOUS -> incidents; MISPLACED in general
general/L5_engines/alert_log_linker.py,general,L5 — Domain Engine,FULL,Link alerts to log records for explicit correlation (pure business logic),logs,MEDIUM,activity,HIGH,YES,NO,phrase:llm run; phrase:trace step; phrase:run; phrase:trace; code:run_,V2 OVERRIDE: logs -> activity; MISPLACED in general
general/L5_engines/alerts_facade.py,general,L5 — Adapter (Facade),FULL,Alerts Facade - Thin translation layer for alert operations,AMBIGUOUS,LOW,account,MEDIUM,YES,NO,phrase:tenant; code:tenant_,V2 OVERRIDE: AMBIGUOUS -> account; MISPLACED in general
general/L5_engines/audit_store.py,general,L5 — Domain Engine,FULL,Storage for audit expectations and acknowledgments (RAC),logs,MEDIUM,AMBIGUOUS,LOW,NO,YES,Close: logs=7 vs activity=6,MISPLACED: currently in general
general/L5_engines/canonical_json.py,general,L5 — Domain Engine (Utility),FULL,"Canonical JSON serialization for hashing (pure computation, no boundary crossing)",analytics,MEDIUM,AMBIGUOUS,LOW,NO,YES,Close: apis=5 vs analytics=3,MISPLACED: currently in general
general/L5_engines/compliance_facade.py,general,L5 — Adapter (Facade),FULL,Compliance Facade - Thin translation layer for compliance operations,AMBIGUOUS,LOW,AMBIGUOUS,LOW,NO,YES,Close: account=6 vs policies=4,Needs manual review
general/L5_engines/concurrent_runs.py,general,L5 — Domain Engine,FULL,Concurrent run limit enforcement (Redis-backed),AMBIGUOUS,LOW,activity,HIGH,YES,NO,phrase:run; phrase:trace,V2 OVERRIDE: AMBIGUOUS -> activity; MISPLACED in general
general/L5_engines/control_registry.py,general,L5 — Domain Engine,FULL,SOC2 Trust Service Criteria control registry (pure business logic),AMBIGUOUS,LOW,incidents,MEDIUM,YES,NO,phrase:incident; code:incident_,V2 OVERRIDE: AMBIGUOUS -> incidents; MISPLACED in general
general/L5_engines/cus_credential_service.py,general,L5 — Domain Engine,FULL,Credential encryption and vault integration for customer LLM integrations,integrations,MEDIUM,AMBIGUOUS,LOW,NO,YES,Close: integrations=7 vs account=6,MISPLACED: currently in general
general/L5_engines/cus_health_shim.py,general,L5 — Domain Engine (DEPRECATED SHIM),FULL,DEPRECATED SHIM - Redirect to drivers/cus_health_driver.py,AMBIGUOUS,LOW,AMBIGUOUS,LOW,NO,NO,No pattern match in code,Needs manual review
general/L5_engines/db_helpers.py,general,L5 — Domain Engine (Utility),FULL,Database row extraction utilities (pure computation on Row objects),analytics,MEDIUM,AMBIGUOUS,LOW,NO,YES,Close: apis=4 vs analytics=3,MISPLACED: currently in general
general/L5_engines/deterministic.py,general,L5 — Domain Engine (Utility),FULL,"Deterministic execution utilities (pure computation, no boundary crossing)",analytics,MEDIUM,AMBIGUOUS,LOW,NO,YES,Close: activity=6 vs apis=4,MISPLACED: currently in general
general/L5_engines/fatigue_controller.py,general,L5 — Domain Engine,FULL,"Alert fatigue management (pure in-memory business logic, no boundary crossing)",logs,LOW,AMBIGUOUS,LOW,NO,YES,Close: account=6 vs controls=5,MISPLACED: currently in general
general/L5_engines/guard.py,general,L5 — Domain Engine (Schema),FULL,"Guard contract DTOs for access control (Pydantic schemas, no boundary crossing)",AMBIGUOUS,LOW,AMBIGUOUS,LOW,NO,YES,Close: overview=9 vs controls=7,Needs manual review
general/L5_engines/input_sanitizer.py,general,L5 — Domain Engine (Utility),FULL,Input sanitization for security (pure regex validation and URL parsing),AMBIGUOUS,LOW,logs,LOW,NO,NO,,Needs manual review
general/L5_engines/knowledge_lifecycle_manager.py,general,L5 — Domain Engine,FULL,GAP-086 Knowledge Lifecycle Manager (THE ORCHESTRATOR) - pure business logic,general,MEDIUM,AMBIGUOUS,LOW,NO,YES,Close: logs=7 vs general=6,
general/L5_engines/knowledge_sdk.py,general,L5 — Domain Engine,FULL,GAP-083-085 Knowledge SDK Façade (thin wrapper over KnowledgeLifecycleManager),AMBIGUOUS,LOW,AMBIGUOUS,LOW,NO,YES,Close: account=6 vs activity=4,Needs manual review
general/L5_engines/lifecycle_facade.py,general,L5 — Adapter (Facade),FULL,Lifecycle Facade - Thin translation layer for lifecycle operations,AMBIGUOUS,LOW,activity,HIGH,YES,NO,phrase:run lifecycle; phrase:run; code:run_,V2 OVERRIDE: AMBIGUOUS -> activity; MISPLACED in general
general/L5_engines/lifecycle_stages_base.py,general,L5 — Domain Engine,FULL,Stage Handler Protocol and Base Types (pure business logic),logs,LOW,general,HIGH,YES,NO,phrase:orchestrator; code:orchestrator; code:runtime,V2 OVERRIDE: logs -> general
general/L5_engines/metrics_helpers.py,general,L5 — Domain Engine,FULL,Metrics helper functions (Prometheus),analytics,LOW,AMBIGUOUS,LOW,NO,YES,Close: apis=4 vs analytics=3,MISPLACED: currently in general
general/L5_engines/monitors_facade.py,general,L5 — Adapter (Facade),FULL,Monitors Facade - Thin translation layer for monitoring operations,AMBIGUOUS,LOW,AMBIGUOUS,LOW,NO,YES,Close: activity=6 vs account=6,Needs manual review
general/L5_engines/panel_invariant_monitor.py,general,L5 — Domain Engine,FULL,Monitor panel invariants and detect silent governance failures (in-memory logic),AMBIGUOUS,LOW,AMBIGUOUS,LOW,NO,YES,Close: incidents=5 vs activity=4,Needs manual review
general/L5_engines/plan_inspector.py,general,L5 — Domain Engine (Utility),FULL,"Plan structure inspection and validation (pure computation, no boundary crossing)",analytics,MEDIUM,AMBIGUOUS,LOW,NO,YES,Close: analytics=6 vs controls=5,MISPLACED: currently in general
general/L5_engines/rate_limiter.py,general,L5 — Domain Engine,FULL,Rate limiting utilities (Redis-backed),controls,MEDIUM,AMBIGUOUS,LOW,NO,YES,Close: controls=5 vs account=4,MISPLACED: currently in general
general/L5_engines/runtime.py,general,L5 — Domain Engine (Utility),FULL,"Runtime utilities (pure uuid/datetime generation, no boundary crossing)",activity,MEDIUM,AMBIGUOUS,LOW,NO,YES,Close: activity=4 vs general=2,MISPLACED: currently in general
general/L5_engines/runtime_switch.py,general,L5 — Domain Engine,FULL,Runtime toggle for governance enforcement (emergency kill switch),general,MEDIUM,AMBIGUOUS,LOW,NO,YES,Close: logs=5 vs policies=4,
general/L5_engines/scheduler_facade.py,general,L5 — Adapter (Facade),FULL,Scheduler Facade - Thin translation layer for job scheduling operations,AMBIGUOUS,LOW,activity,HIGH,YES,NO,phrase:run history; phrase:run; code:run_,V2 OVERRIDE: AMBIGUOUS -> activity; MISPLACED in general
general/L5_engines/webhook_verify.py,general,L5 — Domain Engine (Utility),FULL,Webhook HMAC-SHA256 signature verification (pure cryptographic computation),AMBIGUOUS,LOW,AMBIGUOUS,LOW,NO,YES,Close: integrations=4 vs apis=4,Needs manual review
general/L5_lifecycle/drivers/execution.py,general,L5 — Domain Engine (Execution),FULL,Execution implementations for lifecycle stage handlers (pure business logic),AMBIGUOUS,LOW,AMBIGUOUS,LOW,NO,YES,Close: account=6 vs integrations=5,Needs manual review
general/L5_lifecycle/drivers/knowledge_plane.py,general,L5 — Domain Engine (Model),FULL,KnowledgePlane domain models and registry (pure dataclass definitions),AMBIGUOUS,LOW,AMBIGUOUS,LOW,NO,YES,Close: account=4 vs analytics=2,Needs manual review
general/L5_lifecycle/engines/base.py,general,L5 — Domain Engine,FULL,Stage Handler Protocol and Base Types (pure business logic),logs,LOW,general,HIGH,YES,NO,phrase:orchestrator; code:orchestrator; code:runtime,V2 OVERRIDE: logs -> general
general/L5_lifecycle/engines/offboarding.py,general,L5 — Domain Engine,FULL,Offboarding Stage Handlers (GAP-078 to GAP-082) - pure business logic,logs,LOW,logs,HIGH,NO,NO,phrase:audit trail; phrase:audit,V2 confidence: LOW -> HIGH
general/L5_lifecycle/engines/onboarding.py,general,L5 — Domain Engine,FULL,Onboarding Stage Handlers (GAP-071 to GAP-077) - pure business logic,logs,LOW,general,HIGH,YES,NO,phrase:orchestrator; code:orchestrator; code:runtime,V2 OVERRIDE: logs -> general
general/L5_lifecycle/engines/pool_manager.py,general,L5 — Domain Engine,FULL,Unified connection pool manager with health checking (pure business logic),logs,LOW,account,MEDIUM,YES,NO,phrase:tenant; code:tenant_,V2 OVERRIDE: logs -> account; MISPLACED in general
general/L5_schemas/agent.py,general,L5 — Domain Engine (Schema),FULL,Agent API request/response schemas (pure Pydantic DTOs),apis,LOW,controls,HIGH,YES,NO,phrase:rate limit; phrase:budget,V2 OVERRIDE: apis -> controls; MISPLACED in general
general/L5_schemas/artifact.py,general,L5 — Domain Engine (Schema),FULL,Artifact API schemas (pure Pydantic DTOs),apis,LOW,activity,MEDIUM,YES,NO,phrase:run,V2 OVERRIDE: apis -> activity; MISPLACED in general
general/L5_schemas/common.py,general,L5 — Domain Engine (Schema),FULL,Common contract definitions (pure Pydantic DTOs),AMBIGUOUS,LOW,apis,LOW,NO,NO,,Needs manual review
