Layer,File,HTTP Method,Full Path,Function Name,Path Parameters (Input),Query Parameters (Input),Request Body Model (Input),Response Model (Output),Tags,Description
L2,memory_pins.py,GET,/api/v1/memory/pins/{key},get_pin,key,tenant_id,,MemoryPinResponse,memory,Get a memory pin by key.
L2 (Product APIs),onboarding.py,POST,/api/v1/onboarding/advance/api-key,advance_api_key_created,,,,,Onboarding,Advance to API_KEY_CREATED state.
L2 (Product APIs),onboarding.py,GET,/api/v1/onboarding/status,get_onboarding_status,,,,OnboardingStatusResponse,Onboarding,Get current onboarding status for the authenticated tenant.
L2 (Product APIs),onboarding.py,POST,/api/v1/onboarding/verify,verify_identity,,,,OnboardingVerifyResponse,Onboarding,Verify identity and advance to IDENTITY_VERIFIED state.
L2,legacy_routes.py,GET,/api/v1/operator,legacy_api_operator,,,,,Legacy (Deprecated),410 Gone - /api/v1/operator/* merged into /ops/*.
L2,legacy_routes.py,GET,/api/v1/operator/{path:path},legacy_api_operator,path:path,,,,Legacy (Deprecated),410 Gone - /api/v1/operator/* merged into /ops/*.
L2,legacy_routes.py,POST,/api/v1/operator/{path:path},legacy_api_operator,path:path,,,,Legacy (Deprecated),410 Gone - /api/v1/operator/* merged into /ops/*.
L2,policy_proposals.py,GET,/api/v1/policy-proposals/stats/summary,get_proposal_stats,,tenant_id,,,"policy-proposals, pb-s4",Get policy proposal statistics (PB-S4).
L2,policy_proposals.py,GET,/api/v1/policy-proposals/{proposal_id},get_proposal,proposal_id,,,ProposalDetailResponse,"policy-proposals, pb-s4",Get detailed policy proposal by ID (PB-S4).
L2,policy_proposals.py,POST,/api/v1/policy-proposals/{proposal_id}/approve,approve_proposal,proposal_id,,TenantRole,ApprovalResponse,"policy-proposals, pb-s4",Approve a policy proposal (PIN-373).
L2,policy_proposals.py,POST,/api/v1/policy-proposals/{proposal_id}/reject,reject_proposal,proposal_id,,TenantRole,ApprovalResponse,"policy-proposals, pb-s4",Reject a policy proposal (PIN-373).
L2,policy_proposals.py,GET,/api/v1/policy-proposals/{proposal_id}/versions,list_proposal_versions,proposal_id,,,list[VersionResponse],"policy-proposals, pb-s4",List all versions of a policy proposal (PB-S4).
L2 (Product APIs),policy.py,POST,/api/v1/policy/eval,evaluate_policy,,,,PolicyEvalResponse,policy,Sandbox evaluation of policy for a skill execution.
L2 (Product APIs),policy.py,GET,/api/v1/policy/requests,list_approval_requests,,"tenant_id, limit, offset",Optional[ApprovalStatus],List[ApprovalStatusResponse],policy,List approval requests with optional filtering.
L2 (Product APIs),policy.py,POST,/api/v1/policy/requests,create_approval_request,,,BackgroundTasks,ApprovalRequestResponse,policy,Create a new approval request (persisted to DB).
L2 (Product APIs),policy.py,GET,/api/v1/policy/requests/{request_id},get_approval_request,request_id,,,ApprovalStatusResponse,policy,Get the current status of an approval request.
L2 (Product APIs),policy.py,POST,/api/v1/policy/requests/{request_id}/approve,approve_request,request_id,,BackgroundTasks,ApprovalStatusResponse,policy,Approve an approval request.
L2 (Product APIs),policy.py,POST,/api/v1/policy/requests/{request_id}/reject,reject_request,request_id,,BackgroundTasks,ApprovalStatusResponse,policy,Reject an approval request.
L2,predictions.py,GET,/api/v1/predictions/stats/summary,get_prediction_stats,,tenant_id,,,"predictions, pb-s5, read-only",Get prediction statistics (PB-S5).
L2,predictions.py,GET,/api/v1/predictions/subject/{subject_type}/{subject_id},get_predictions_for_subject,"subject_type, subject_id",limit,,,"predictions, pb-s5, read-only",Get all predictions for a specific subject (PB-S5).
L2,predictions.py,GET,/api/v1/predictions/{prediction_id},get_prediction,prediction_id,,,PredictionDetailResponse,"predictions, pb-s5, read-only",Get detailed prediction by ID (PB-S5).
L2,rbac_api.py,GET,/api/v1/rbac/audit,query_audit_logs,,"tenant_id, limit, offset",Optional[datetime],AuditResponse,rbac,Query RBAC audit logs.
L2,rbac_api.py,POST,/api/v1/rbac/audit/cleanup,cleanup_audit_logs,,,,,rbac,Clean up old audit logs.
L2,rbac_api.py,GET,/api/v1/rbac/info,get_policy_info,,,,PolicyInfoResponse,rbac,Get current RBAC policy information.
L2,rbac_api.py,GET,/api/v1/rbac/matrix,get_permission_matrix,,,,,rbac,Get current permission matrix.
L2,rbac_api.py,POST,/api/v1/rbac/reload,reload_policies,,,,ReloadResponse,rbac,Hot-reload RBAC policies from file.
L2,recovery.py,GET,/api/v1/recovery/actions,list_actions,,limit,Optional[str],ActionListResponse,recovery,List available recovery actions from the catalog.
L2,recovery.py,POST,/api/v1/recovery/approve,approve_candidate,,,RecoveryMatcher,CandidateResponse,recovery,Approve or reject a recovery candidate.
L2,recovery.py,GET,/api/v1/recovery/candidates,list_candidates,,"limit, offset",RecoveryMatcher,CandidateListResponse,recovery,List recovery candidates with optional status filter.
L2,recovery.py,DELETE,/api/v1/recovery/candidates/{candidate_id},delete_candidate,candidate_id,,RecoveryMatcher,,recovery,Delete/revoke a recovery candidate (admin only).
L2,recovery.py,GET,/api/v1/recovery/candidates/{candidate_id},get_candidate_detail,candidate_id,,RecoveryMatcher,CandidateDetailResponse,recovery,Get detailed information about a specific candidate.
L2,recovery.py,PATCH,/api/v1/recovery/candidates/{candidate_id},update_candidate,candidate_id,,RecoveryMatcher,,recovery,Update a candidate's execution status or selected action.
L2,recovery.py,POST,/api/v1/recovery/candidates/{candidate_id}/scope-test,test_recovery_scope,candidate_id,,,ScopeTestResponse,recovery,M6: Test a recovery action in scoped execution before global rollout.
L2,recovery.py,POST,/api/v1/recovery/evaluate,evaluate_rules,,,,EvaluateResponse,recovery,Evaluate rules against error context without persisting.
L2,recovery.py,POST,/api/v1/recovery/execute,execute_recovery,,,,ExecuteResponse,recovery,P2FC-4: Execute a recovery action (REQUIRES valid scope).
L2,recovery_ingest.py,POST,/api/v1/recovery/ingest,ingest_failure,,,,IngestResponse,recovery-ingest,Ingest a failure for recovery suggestion evaluation.
L2,recovery.py,POST,/api/v1/recovery/scope,create_scope,,,,CreateScopeResponse,recovery,P2FC-4: Create a bound execution scope for recovery action.
L2,recovery.py,GET,/api/v1/recovery/scopes/{incident_id},list_scopes,incident_id,,,ScopeListResponse,recovery,List all execution scopes for an incident.
L2,recovery.py,DELETE,/api/v1/recovery/scopes/{scope_id},revoke_scope,scope_id,,,,recovery,Revoke an execution scope (admin action).
L2,recovery.py,GET,/api/v1/recovery/stats,get_recovery_stats,,,RecoveryMatcher,,recovery,Get recovery suggestion statistics.
L2,recovery.py,POST,/api/v1/recovery/suggest,suggest_recovery,,,RecoveryMatcher,SuggestResponse,recovery,Generate recovery suggestion for a failure.
L2,agents.py,POST,/api/v1/routing/batch-learning,trigger_batch_learning,,,,,agents,M18: Trigger batch learning process.
L2,agents.py,POST,/api/v1/routing/cascade-evaluate,cascade_evaluate,,,,,agents,M17: Evaluate agents through CARE pipeline without routing.
L2,agents.py,POST,/api/v1/routing/dispatch,routing_dispatch,,,,,agents,M17: Execute full CARE routing pipeline and select best agent.
L2,agents.py,POST,/api/v1/routing/explain/{request_id},explain_routing_decision,request_id,,,ExplainRoutingResponse,agents,M18: Explain why a routing decision was made.
L2,agents.py,GET,/api/v1/routing/stability,get_system_stability,,,,SystemStabilityResponse,agents,M18: Get system-wide stability metrics.
L2,agents.py,POST,/api/v1/routing/stability/freeze,freeze_system,,,,,agents,M18: Manually freeze the learning system.
L2,agents.py,POST,/api/v1/routing/stability/unfreeze,unfreeze_system,,,,,agents,M18: Manually unfreeze the learning system.
L2,agents.py,GET,/api/v1/routing/stats,get_routing_stats,,,,,agents,M17: Get routing statistics.
L2,tenants.py,GET,/api/v1/runs,list_runs,,"limit, offset",Optional[str],List[RunHistoryItem],Tenants & API Keys,List runs for the current tenant.
L2 (Product APIs),runtime.py,GET,/api/v1/runtime/capabilities,get_capabilities,,tenant_id,Optional[str],CapabilitiesResponse,runtime,Get available capabilities for an agent/tenant.
L2 (Product APIs),runtime.py,POST,/api/v1/runtime/query,query_runtime,,,,QueryResponse,runtime,Query runtime state.
L2 (Product APIs),runtime.py,POST,/api/v1/runtime/replay/{run_id},replay_run,run_id,,,ReplayResponse,runtime,Replay a stored plan and optionally verify determinism parity.
L2 (Product APIs),runtime.py,GET,/api/v1/runtime/resource-contract/{resource_id},get_resource_contract,resource_id,,,,runtime,Get resource contract for a specific resource.
L2 (Product APIs),runtime.py,POST,/api/v1/runtime/simulate,simulate_plan,,,,SimulateResponse,runtime,Simulate a plan before execution.
L2 (Product APIs),runtime.py,GET,/api/v1/runtime/skills,list_available_skills,,,,SkillListResponse,runtime,List all available skills.
L2 (Product APIs),runtime.py,GET,/api/v1/runtime/skills/{skill_id},describe_skill,skill_id,,,SkillDescriptorResponse,runtime,Get detailed descriptor for a skill.
L2 (Product APIs),runtime.py,GET,/api/v1/runtime/traces,list_traces,,"tenant_id, limit, offset",,,runtime,List stored traces for a tenant.
L2 (Product APIs),runtime.py,GET,/api/v1/runtime/traces/{run_id},get_trace,run_id,,,,runtime,Get a specific trace by run ID.
L2,agents.py,GET,/api/v1/sba,list_agents_sba,,,Optional[bool],,agents,List agents with their SBA status.
L2,agents.py,POST,/api/v1/sba/check-spawn,check_spawn_allowed,,,Optional[str],,agents,Check if agent is allowed to spawn.
L2,agents.py,GET,/api/v1/sba/fulfillment/aggregated,get_fulfillment_aggregated,,,Optional[float],,agents,M15.1.1: Get aggregated fulfillment metrics for heatmap visualization.
L2,agents.py,POST,/api/v1/sba/generate,generate_sba_for_agent,,,,,agents,Auto-generate SBA for an agent.
L2,agents.py,GET,/api/v1/sba/health,get_sba_health,,,,,agents,M16: Get aggregated strategy health for Guard Console.
L2,agents.py,POST,/api/v1/sba/register,register_agent_with_sba,,,,,agents,Register an agent with its SBA schema.
L2,agents.py,POST,/api/v1/sba/validate,validate_sba_endpoint,,,,,agents,Validate an SBA schema.
L2,agents.py,GET,/api/v1/sba/version,get_sba_version_info,,,,,agents,M15.1.1: Get SBA version negotiation info.
L2,agents.py,POST,/api/v1/sba/version/negotiate,negotiate_sba_version,,,,,agents,M15.1.1: Negotiate SBA version.
L2,agents.py,GET,/api/v1/sba/{agent_id},get_agent_sba,agent_id,,,,agents,Get SBA schema for an agent.
L2 (Product APIs),session_context.py,GET,/api/v1/session/context,get_session_context,,,,,Session,Get verified session context for the current authenticated user.
L2,tenants.py,GET,/api/v1/tenant,get_current_tenant,,,,TenantResponse,Tenants & API Keys,Get information about the current tenant (from API key).
L2,tenants.py,GET,/api/v1/tenant/health,tenant_health,,,,,Tenants & API Keys,Health check for tenant system.
L2,tenants.py,GET,/api/v1/tenant/quota/runs,check_run_quota,,,,QuotaCheckResponse,Tenants & API Keys,Check if the tenant can create a new run.
L2,tenants.py,GET,/api/v1/tenant/quota/tokens,check_token_quota,,,,QuotaCheckResponse,Tenants & API Keys,Check if the tenant has token budget for an operation.
L2,tenants.py,GET,/api/v1/tenant/usage,get_tenant_usage,,,,UsageSummaryResponse,Tenants & API Keys,Get usage summary for the current tenant.
L2,tenants.py,GET,/api/v1/workers,list_workers,,,Optional[str],List[WorkerSummaryResponse],Tenants & API Keys,List all available workers.
L2,tenants.py,GET,/api/v1/workers/available,list_available_workers_for_tenant,,,,List[dict],Tenants & API Keys,List workers available to the current tenant with their configurations.
L2 (Product APIs),workers.py,GET,/api/v1/workers/business-builder/events/{run_id},get_run_events,run_id,,,,Workers,Get all events for a run (non-streaming).
L2 (Product APIs),workers.py,GET,/api/v1/workers/business-builder/health,worker_health,,,,,Workers,Health check for Business Builder Worker.
L2 (Product APIs),workers.py,POST,/api/v1/workers/business-builder/replay,replay_execution_endpoint,,,,WorkerRunResponse,Workers,Replay a previous execution using Golden Replay (M4).
L2 (Product APIs),workers.py,POST,/api/v1/workers/business-builder/run,run_worker,,,BackgroundTasks,WorkerRunResponse,Workers,Execute the Business Builder Worker.
L2 (Product APIs),workers.py,POST,/api/v1/workers/business-builder/run-streaming,run_worker_streaming,,,BackgroundTasks,WorkerRunResponse,Workers,Execute the Business Builder Worker with real-time event streaming.
L2 (Product APIs),workers.py,GET,/api/v1/workers/business-builder/runs,list_runs,,"limit, tenant_id",,RunListResponse,Workers,List recent worker runs.
L2 (Product APIs),workers.py,DELETE,/api/v1/workers/business-builder/runs/{run_id},delete_run,run_id,,,,Workers,Delete a run from storage.
L2 (Product APIs),workers.py,GET,/api/v1/workers/business-builder/runs/{run_id},get_run,run_id,,,WorkerRunResponse,Workers,Get details of a worker run.
L2 (Product APIs),workers.py,POST,/api/v1/workers/business-builder/runs/{run_id}/retry,retry_run,run_id,,,RunRetryResponse,Workers,Retry a completed or failed run - Phase-2.5.
L2 (Product APIs),workers.py,GET,/api/v1/workers/business-builder/schema/brand,get_brand_schema,,,,,Workers,Get the JSON schema for BrandRequest.
L2 (Product APIs),workers.py,GET,/api/v1/workers/business-builder/schema/run,get_run_schema,,,,,Workers,Get the JSON schema for WorkerRunRequest.
L2 (Product APIs),workers.py,GET,/api/v1/workers/business-builder/stream/{run_id},stream_run_events,run_id,,,,Workers,Stream real-time events for a worker run via Server-Sent Events (SSE).
L2 (Product APIs),workers.py,POST,/api/v1/workers/business-builder/validate-brand,validate_brand,,,,BrandValidationResponse,Workers,Validate a brand schema without executing the worker.
L2,tenants.py,GET,/api/v1/workers/{worker_id},get_worker_details,worker_id,,,WorkerDetailResponse,Tenants & API Keys,Get detailed information about a specific worker.
L2,tenants.py,GET,/api/v1/workers/{worker_id}/config,get_worker_config,worker_id,,,WorkerConfigResponse,Tenants & API Keys,Get the effective configuration for a worker (tenant overrides merged with defaults).
L2,tenants.py,PUT,/api/v1/workers/{worker_id}/config,set_worker_config,worker_id,,,WorkerConfigResponse,Tenants & API Keys,Set tenant-specific configuration for a worker.
L2,cost_intelligence.py,GET,/cost/anomalies,get_anomalies,,tenant_id,,CostAnomaliesEnvelope,Cost Intelligence,Get detected cost anomalies.
L2,cost_intelligence.py,POST,/cost/anomalies/detect,trigger_anomaly_detection,,tenant_id,,AnomalyDetectionResponse,Cost Intelligence,Trigger anomaly detection for this tenant.
L2,cost_intelligence.py,GET,/cost/budgets,list_budgets,,tenant_id,,List[BudgetResponse],Cost Intelligence,List all budgets for the tenant.
L2,cost_intelligence.py,POST,/cost/budgets,create_or_update_budget,,tenant_id,BudgetCreate,BudgetResponse,Cost Intelligence,Create or update a budget.
L2,cost_intelligence.py,GET,/cost/by-feature,get_costs_by_feature,,tenant_id,,CostByFeatureEnvelope,Cost Intelligence,Get cost breakdown by feature tag.
L2,cost_intelligence.py,GET,/cost/by-model,get_costs_by_model,,tenant_id,,CostByModelEnvelope,Cost Intelligence,Get cost breakdown by model.
L2,cost_intelligence.py,GET,/cost/by-user,get_costs_by_user,,tenant_id,,CostByUserEnvelope,Cost Intelligence,Get cost breakdown by user with anomaly detection.
L2,cost_intelligence.py,GET,/cost/dashboard,get_cost_dashboard,,tenant_id,,CostDashboard,Cost Intelligence,Get complete cost dashboard.
L2,cost_intelligence.py,GET,/cost/features,list_feature_tags,,tenant_id,,List[FeatureTagResponse],Cost Intelligence,List all feature tags for the tenant.
L2,cost_intelligence.py,POST,/cost/features,create_feature_tag,,tenant_id,FeatureTagCreate,FeatureTagResponse,Cost Intelligence,Register a new feature tag.
L2,cost_intelligence.py,PUT,/cost/features/{tag},update_feature_tag,tag,tenant_id,FeatureTagUpdate,FeatureTagResponse,Cost Intelligence,Update a feature tag.
L2,cost_intelligence.py,GET,/cost/projection,get_projection,,tenant_id,,CostProjection,Cost Intelligence,Get cost projection based on historical data.
L2,cost_intelligence.py,POST,/cost/record,record_cost,,tenant_id,CostRecordCreate,,Cost Intelligence,Record a cost entry.
L2,cost_intelligence.py,GET,/cost/summary,get_cost_summary,,tenant_id,,CostSummary,Cost Intelligence,Get cost summary for the period.
L2,costsim.py,GET,/costsim/canary/reports,get_canary_reports,,limit,,,costsim,Get recent canary run reports.
L2,costsim.py,POST,/costsim/canary/run,trigger_canary_run,,,,CanaryRunResponse,costsim,Trigger a canary run on-demand.
L2,costsim.py,GET,/costsim/datasets,list_datasets,,,,List[DatasetInfo],costsim,List all available reference datasets.
L2,costsim.py,POST,/costsim/datasets/validate-all,validate_all,,,,,costsim,Validate V2 against ALL reference datasets.
L2,costsim.py,GET,/costsim/datasets/{dataset_id},get_dataset_info,dataset_id,,,,costsim,Get information about a specific dataset.
L2,costsim.py,POST,/costsim/datasets/{dataset_id}/validate,validate_against_dataset,dataset_id,,,ValidationResultResponse,costsim,Validate V2 against a specific reference dataset.
L2,costsim.py,GET,/costsim/divergence,get_divergence_report,,tenant_id,Optional[datetime],DivergenceReportResponse,costsim,Get cost divergence report between V1 and V2.
L2,costsim.py,GET,/costsim/v2/incidents,get_incidents,,limit,,,costsim,Get circuit breaker incidents.
L2,costsim.py,POST,/costsim/v2/reset,reset_circuit_breaker,,,Optional[str],,costsim,Reset the V2 circuit breaker.
L2,costsim.py,POST,/costsim/v2/simulate,simulate_v2,,,,SandboxSimulateResponse,costsim,Run simulation through V2 sandbox.
L2,costsim.py,GET,/costsim/v2/status,get_sandbox_status,,,,SandboxStatusResponse,costsim,Get current V2 sandbox status.
L2a (Console-scoped),customer_visibility.py,POST,/customer/acknowledge,acknowledge_declaration,,,,AcknowledgementResponse,customer-visibility,Acknowledge PRE-RUN declaration.
L2a (Console-scoped),customer_visibility.py,GET,/customer/declaration/{declaration_id},get_declaration,declaration_id,,,PreRunDeclaration,customer-visibility,Retrieve a previously created PRE-RUN declaration.
L2a (Console-scoped),customer_visibility.py,GET,/customer/outcome/{run_id},get_outcome_reconciliation,run_id,,,OutcomeReconciliation,customer-visibility,Get outcome reconciliation after execution.
L2a (Console-scoped),customer_visibility.py,POST,/customer/pre-run,get_pre_run_declaration,,,,PreRunDeclaration,customer-visibility,Get PRE-RUN declaration before execution.
L2,legacy_routes.py,DELETE,/dashboard,legacy_dashboard,,,,,Legacy (Deprecated),410 Gone - Dashboard is not available for MVP customers.
L2,legacy_routes.py,GET,/dashboard,legacy_dashboard,,,,,Legacy (Deprecated),410 Gone - Dashboard is not available for MVP customers.
L2,legacy_routes.py,POST,/dashboard,legacy_dashboard,,,,,Legacy (Deprecated),410 Gone - Dashboard is not available for MVP customers.
L2,legacy_routes.py,PUT,/dashboard,legacy_dashboard,,,,,Legacy (Deprecated),410 Gone - Dashboard is not available for MVP customers.
L2,legacy_routes.py,GET,/demo,legacy_demo,,,,,Legacy (Deprecated),410 Gone - Demo/simulation endpoints removed.
L2,legacy_routes.py,POST,/demo,legacy_demo,,,,,Legacy (Deprecated),410 Gone - Demo/simulation endpoints removed.
L2,legacy_routes.py,GET,/demo/{path:path},legacy_demo,path:path,,,,Legacy (Deprecated),410 Gone - Demo/simulation endpoints removed.
L2,legacy_routes.py,POST,/demo/{path:path},legacy_demo,path:path,,,,Legacy (Deprecated),410 Gone - Demo/simulation endpoints removed.
L2,embedding.py,DELETE,/embedding/cache,clear_embedding_cache,,,,,embedding,Clear all embedding cache entries.
L2,embedding.py,GET,/embedding/cache/stats,embedding_cache_stats,,,,,embedding,Get embedding cache statistics.
L2,embedding.py,POST,/embedding/compose,compose_embedding,,,,IAECComposeResponse,embedding,Compose an instruction-aware embedding using IAEC v3.0.
L2,embedding.py,GET,/embedding/config,get_embedding_config,,,,EmbeddingConfigResponse,embedding,Get embedding configuration.
L2,embedding.py,POST,/embedding/decompose,decompose_embedding,,,,IAECDecomposeResponse,embedding,Decompose an IAEC embedding back into its constituent slots (v3.0).
L2,embedding.py,GET,/embedding/health,embedding_health,,,,,embedding,Quick health check for embedding subsystem.
L2,embedding.py,POST,/embedding/iaec/check-mismatch,check_mismatch,,,,,embedding,Check instruction-query semantic compatibility (v3.1).
L2,embedding.py,GET,/embedding/iaec/instructions,get_iaec_instructions,,,,,embedding,Get available IAEC instruction types and their weights.
L2,embedding.py,GET,/embedding/iaec/segment-info,get_iaec_segment_info,,,,,embedding,Get IAEC v3.0 segmentation configuration.
L2,embedding.py,GET,/embedding/quota,get_embedding_quota,,,,EmbeddingQuotaResponse,embedding,Get current embedding quota status.
