Domain,Subdomain,Topic,Topic ID,Panel ID,Panel Name,Order,Ranking Dimension,Nav Required,Filtering,Selection Mode,Read,Download,Write,Write Action,Activate,Activate Action,Action Layer,Confirmation Required,Control Set (Explicit),Visible by Default,Replay,Notes,row_uid,action_intent,candidate_capability_id,candidate_operator,candidate_adapter,cap_risk_flags,cap_confidence,cap_l2_1_aligned,mode_match,scope_match,bulk_match,authority_match,replay_match,latency_risk,binding_status,binding_notes,crosswalk_adapter,crosswalk_operator,crosswalk_layer_route,crosswalk_side_effects
Activity,EXECUTIONS,RUN_DETAILS,ACTIVITY.EXECUTIONS.RUN_DETAILS,ACT-EX-RD-O3,Run Step Detail,O3,NONE,YES,NO,SINGLE,YES,YES,NO,,NO,,L2_1,NO,"[DOWNLOAD,NAVIGATE]",NO,YES,Step-level detail with input/output,9ad413b4fff7,READ,CAP-ACT-LIST,list_activities(),CustomerActivityAdapter,,HIGH,YES,YES,YES,YES,YES,YES,LOW,SAFE,All checks pass,,,,
Activity,EXECUTIONS,RUN_DETAILS,ACTIVITY.EXECUTIONS.RUN_DETAILS,ACT-EX-RD-O3,Run Step Detail,O3,NONE,YES,NO,SINGLE,YES,YES,NO,,NO,,L2_1,NO,"[DOWNLOAD,NAVIGATE]",NO,YES,Step-level detail with input/output,9ad413b4fff7,READ,CAP-ACT-DETAIL,get_activity(),CustomerActivityAdapter,,HIGH,YES,YES,YES,NO,YES,YES,LOW,SAFE,All checks pass,,,,
Activity,EXECUTIONS,RUN_DETAILS,ACTIVITY.EXECUTIONS.RUN_DETAILS,ACT-EX-RD-O3,Run Step Detail,O3,NONE,YES,NO,SINGLE,YES,YES,NO,,NO,,L2_1,NO,"[DOWNLOAD,NAVIGATE]",NO,YES,Step-level detail with input/output,9ad413b4fff7,DOWNLOAD,CAP-ACT-LIST,list_activities(),CustomerActivityAdapter,,HIGH,YES,YES,YES,YES,YES,YES,LOW,SAFE,All checks pass,,,,
Activity,EXECUTIONS,RUN_DETAILS,ACTIVITY.EXECUTIONS.RUN_DETAILS,ACT-EX-RD-O3,Run Step Detail,O3,NONE,YES,NO,SINGLE,YES,YES,NO,,NO,,L2_1,NO,"[DOWNLOAD,NAVIGATE]",NO,YES,Step-level detail with input/output,9ad413b4fff7,DOWNLOAD,CAP-ACT-DETAIL,get_activity(),CustomerActivityAdapter,,HIGH,YES,YES,YES,NO,YES,YES,LOW,SAFE,All checks pass,,,,
Activity,EXECUTIONS,RUN_DETAILS,ACTIVITY.EXECUTIONS.RUN_DETAILS,ACT-EX-RD-O4,Run Context,O4,NONE,YES,NO,NONE,YES,NO,NO,,NO,,L2_1,NO,[NAVIGATE],NO,YES,Related runs and impact context,2a4d1a265dfc,READ,CAP-ACT-LIST,list_activities(),CustomerActivityAdapter,,HIGH,YES,YES,YES,YES,YES,YES,LOW,SAFE,All checks pass,,,,
Activity,EXECUTIONS,RUN_DETAILS,ACTIVITY.EXECUTIONS.RUN_DETAILS,ACT-EX-RD-O4,Run Context,O4,NONE,YES,NO,NONE,YES,NO,NO,,NO,,L2_1,NO,[NAVIGATE],NO,YES,Related runs and impact context,2a4d1a265dfc,READ,CAP-ACT-DETAIL,get_activity(),CustomerActivityAdapter,,HIGH,YES,YES,YES,NO,YES,YES,LOW,SAFE,All checks pass,,,,
Activity,EXECUTIONS,RUN_DETAILS,ACTIVITY.EXECUTIONS.RUN_DETAILS,ACT-EX-RD-O5,Run Proof,O5,NONE,YES,NO,NONE,YES,YES,NO,,NO,,L2_1,NO,[DOWNLOAD],NO,YES,Immutable execution trace (O5 terminal),5128ed1cf8c9,READ,CAP-ACT-LIST,list_activities(),CustomerActivityAdapter,,HIGH,YES,YES,YES,YES,YES,YES,LOW,SAFE,All checks pass,,,,
Activity,EXECUTIONS,RUN_DETAILS,ACTIVITY.EXECUTIONS.RUN_DETAILS,ACT-EX-RD-O5,Run Proof,O5,NONE,YES,NO,NONE,YES,YES,NO,,NO,,L2_1,NO,[DOWNLOAD],NO,YES,Immutable execution trace (O5 terminal),5128ed1cf8c9,READ,CAP-ACT-DETAIL,get_activity(),CustomerActivityAdapter,,HIGH,YES,YES,YES,NO,YES,YES,LOW,SAFE,All checks pass,,,,
Activity,EXECUTIONS,RUN_DETAILS,ACTIVITY.EXECUTIONS.RUN_DETAILS,ACT-EX-RD-O5,Run Proof,O5,NONE,YES,NO,NONE,YES,YES,NO,,NO,,L2_1,NO,[DOWNLOAD],NO,YES,Immutable execution trace (O5 terminal),5128ed1cf8c9,DOWNLOAD,CAP-ACT-LIST,list_activities(),CustomerActivityAdapter,,HIGH,YES,YES,YES,YES,YES,YES,LOW,SAFE,All checks pass,,,,
Activity,EXECUTIONS,RUN_DETAILS,ACTIVITY.EXECUTIONS.RUN_DETAILS,ACT-EX-RD-O5,Run Proof,O5,NONE,YES,NO,NONE,YES,YES,NO,,NO,,L2_1,NO,[DOWNLOAD],NO,YES,Immutable execution trace (O5 terminal),5128ed1cf8c9,DOWNLOAD,CAP-ACT-DETAIL,get_activity(),CustomerActivityAdapter,,HIGH,YES,YES,YES,NO,YES,YES,LOW,SAFE,All checks pass,,,,
Incidents,ACTIVE_INCIDENTS,OPEN_INCIDENTS,INCIDENTS.ACTIVE_INCIDENTS.OPEN_INCIDENTS,INC-AI-OI-O1,Open Incidents Summary,O1,NONE,NO,NO,NONE,YES,NO,NO,,NO,,L2_1,NO,[],YES,YES,Count and severity breakdown of open incidents,9f4e235643e3,READ,CAP-INC-LIST,list_incidents(),CustomerIncidentsAdapter,,HIGH,YES,YES,YES,YES,YES,YES,LOW,SAFE,All checks pass,CustomerIncidentsAdapter,list_incidents(),L2_1,nan
Incidents,ACTIVE_INCIDENTS,OPEN_INCIDENTS,INCIDENTS.ACTIVE_INCIDENTS.OPEN_INCIDENTS,INC-AI-OI-O1,Open Incidents Summary,O1,NONE,NO,NO,NONE,YES,NO,NO,,NO,,L2_1,NO,[],YES,YES,Count and severity breakdown of open incidents,9f4e235643e3,READ,CAP-INC-GET,get_incident(),CustomerIncidentsAdapter,,HIGH,YES,YES,YES,NO,YES,YES,LOW,SAFE,All checks pass,CustomerIncidentsAdapter,get_incident(),L2_1,nan
Incidents,ACTIVE_INCIDENTS,OPEN_INCIDENTS,INCIDENTS.ACTIVE_INCIDENTS.OPEN_INCIDENTS,INC-AI-OI-O1,Open Incidents Summary,O1,NONE,NO,NO,NONE,YES,NO,NO,,NO,,L2_1,NO,[],YES,YES,Count and severity breakdown of open incidents,9f4e235643e3,READ,CAP-INC-ACK,acknowledge_incident(),CustomerIncidentsAdapter,REVERSIBILITY UNKNOWN; IDEMPOTENCY UNCLEAR,MEDIUM,YES,NO,YES,NO,REQUIRES_AUTH,CONFLICT,LOW,QUESTIONABLE,Mode mismatch (READ vs WRITE); Replay/mutation conflict; Risk flag: REVERSIBILITY UNKNOWN; Requires human authorization,CustomerIncidentsAdapter,acknowledge_incident(),GC_L,Creates IncidentEvent
Incidents,ACTIVE_INCIDENTS,OPEN_INCIDENTS,INCIDENTS.ACTIVE_INCIDENTS.OPEN_INCIDENTS,INC-AI-OI-O1,Open Incidents Summary,O1,NONE,NO,NO,NONE,YES,NO,NO,,NO,,L2_1,NO,[],YES,YES,Count and severity breakdown of open incidents,9f4e235643e3,READ,CAP-INC-RESOLVE,resolve_incident(),CustomerIncidentsAdapter,REVERSIBILITY UNKNOWN; NOTES PERSISTENCE UNCLEAR,MEDIUM,YES,NO,YES,NO,REQUIRES_AUTH,CONFLICT,LOW,QUESTIONABLE,Mode mismatch (READ vs WRITE); Replay/mutation conflict; Risk flag: REVERSIBILITY UNKNOWN; Requires human authorization,CustomerIncidentsAdapter,resolve_incident(),GC_L,Creates IncidentEvent
Incidents,ACTIVE_INCIDENTS,OPEN_INCIDENTS,INCIDENTS.ACTIVE_INCIDENTS.OPEN_INCIDENTS,INC-AI-OI-O1,Open Incidents Summary,O1,NONE,NO,NO,NONE,YES,NO,NO,,NO,,L2_1,NO,[],YES,YES,Count and severity breakdown of open incidents,9f4e235643e3,READ,CAP-INC-SEARCH,search_incidents(),(direct in guard.py),Should add to seed,HIGH,PARTIAL,YES,PARTIAL,YES,YES,YES,MEDIUM,SAFE,Partial L2.1 alignment,(direct),search_incidents(),L2_1,nan
Incidents,ACTIVE_INCIDENTS,OPEN_INCIDENTS,INCIDENTS.ACTIVE_INCIDENTS.OPEN_INCIDENTS,INC-AI-OI-O1,Open Incidents Summary,O1,NONE,NO,NO,NONE,YES,NO,NO,,NO,,L2_1,NO,[],YES,YES,Count and severity breakdown of open incidents,9f4e235643e3,READ,CAP-INC-TIMELINE,get_decision_timeline(),(direct in guard.py),Should add to seed,HIGH,PARTIAL,YES,PARTIAL,NO,YES,YES,MEDIUM,SAFE,Partial L2.1 alignment,(direct),get_decision_timeline(),L2_1,nan
Incidents,ACTIVE_INCIDENTS,OPEN_INCIDENTS,INCIDENTS.ACTIVE_INCIDENTS.OPEN_INCIDENTS,INC-AI-OI-O1,Open Incidents Summary,O1,NONE,NO,NO,NONE,YES,NO,NO,,NO,,L2_1,NO,[],YES,YES,Count and severity breakdown of open incidents,9f4e235643e3,READ,CAP-INC-NARRATIVE,get_customer_incident_narrative(),(direct in guard.py),M29 Calm Vocabulary,HIGH,PARTIAL,YES,PARTIAL,NO,YES,YES,LOW,SAFE,Partial L2.1 alignment,(direct),get_customer_incident_narrative(),L2_1,nan
Incidents,ACTIVE_INCIDENTS,OPEN_INCIDENTS,INCIDENTS.ACTIVE_INCIDENTS.OPEN_INCIDENTS,INC-AI-OI-O1,Open Incidents Summary,O1,NONE,NO,NO,NONE,YES,NO,NO,,NO,,L2_1,NO,[],YES,YES,Count and severity breakdown of open incidents,9f4e235643e3,READ,CAP-INC-EXPORT,export_incident_evidence(),(direct in guard.py),HIGH LATENCY,HIGH,PARTIAL,YES,PARTIAL,NO,YES,YES,HIGH,SAFE,High latency risk; Partial L2.1 alignment,(direct),export_incident_evidence(),L2_1,Generates PDF
