domain,layer,file,symbol,signature,called_by,calls,imports,side_effects,async,lines,docstring
_models,L7,costsim_cb,CostSimCBIncidentModel.to_dict,"to_dict() -> Dict[str, Any]",L7:governance | L7:external_response | L7:__init__ | L7:execution_envelope | L7:contract | L7:governance_job | ?:alert_worker | ?:provenance_async | ?:circuit_breaker_async | L4:alert_driver,get_details | isoformat,orm | postgresql | sqlalchemy,pure,no,18,Convert to dictionary.
_models,L7,costsim_cb,CostSimCBStateModel.to_dict,"to_dict() -> Dict[str, Any]",L7:governance | L7:external_response | L7:__init__ | L7:execution_envelope | L7:contract | L7:governance_job | ?:alert_worker | ?:provenance_async | ?:circuit_breaker_async | L4:alert_driver,isoformat,orm | postgresql | sqlalchemy,pure,no,14,Convert to dictionary.
_models,L7,costsim_cb,CostSimCanaryReportModel.get_artifact_paths,get_artifact_paths() -> list,L7:governance | L7:external_response | L7:__init__ | L7:execution_envelope | L7:contract | L7:governance_job | ?:alert_worker | ?:provenance_async | ?:circuit_breaker_async | L4:alert_driver,loads,orm | postgresql | sqlalchemy,pure,no,5,Parse artifact paths JSON.
_models,L7,costsim_cb,CostSimCanaryReportModel.get_failure_reasons,get_failure_reasons() -> list,L7:governance | L7:external_response | L7:__init__ | L7:execution_envelope | L7:contract | L7:governance_job | ?:alert_worker | ?:provenance_async | ?:circuit_breaker_async | L4:alert_driver,loads,orm | postgresql | sqlalchemy,pure,no,5,Parse failure reasons JSON.
_models,L7,costsim_cb,CostSimCanaryReportModel.to_dict,"to_dict() -> Dict[str, Any]",L7:governance | L7:external_response | L7:__init__ | L7:execution_envelope | L7:contract | L7:governance_job | ?:alert_worker | ?:provenance_async | ?:circuit_breaker_async | L4:alert_driver,get_artifact_paths | get_failure_reasons | isoformat,orm | postgresql | sqlalchemy,pure,no,20,Convert to dictionary.
_models,L7,costsim_cb,CostSimProvenanceModel.to_dict,"to_dict() -> Dict[str, Any]",L7:governance | L7:external_response | L7:__init__ | L7:execution_envelope | L7:contract | L7:governance_job | ?:alert_worker | ?:provenance_async | ?:circuit_breaker_async | L4:alert_driver,isoformat,orm | postgresql | sqlalchemy,pure,no,18,Convert to dictionary.
_models,L7,cus_models,CusIntegration.disable,disable() -> None,?:cus_schemas | ?:cus_health_driver | ?:cus_health_engine | ?:cus_enforcement_driver | ?:cus_integration_engine | ?:cus_integration_driver | ?:cus_telemetry_driver | L5s:cus_schemas | L5:cus_health_engine | ?:cus_usage_aggregator,utc_now,postgresql | sqlalchemy | sqlmodel,pure,no,8,Disable this integration (user-initiated pause).
_models,L7,cus_models,CusIntegration.enable,enable() -> None,?:cus_schemas | ?:cus_health_driver | ?:cus_health_engine | ?:cus_enforcement_driver | ?:cus_integration_engine | ?:cus_integration_driver | ?:cus_telemetry_driver | L5s:cus_schemas | L5:cus_health_engine | ?:cus_usage_aggregator,ValueError | utc_now,postgresql | sqlalchemy | sqlmodel,pure,no,10,Enable this integration for use.
_models,L7,cus_models,CusIntegration.has_budget_limit,has_budget_limit() -> bool,?:cus_schemas | ?:cus_health_driver | ?:cus_health_engine | ?:cus_enforcement_driver | ?:cus_integration_engine | ?:cus_integration_driver | ?:cus_telemetry_driver | L5s:cus_schemas | L5:cus_health_engine | ?:cus_usage_aggregator,,postgresql | sqlalchemy | sqlmodel,pure,no,3,Check if budget limit is configured.
_models,L7,cus_models,CusIntegration.has_rate_limit,has_rate_limit() -> bool,?:cus_schemas | ?:cus_health_driver | ?:cus_health_engine | ?:cus_enforcement_driver | ?:cus_integration_engine | ?:cus_integration_driver | ?:cus_telemetry_driver | L5s:cus_schemas | L5:cus_health_engine | ?:cus_usage_aggregator,,postgresql | sqlalchemy | sqlmodel,pure,no,3,Check if rate limit is configured.
_models,L7,cus_models,CusIntegration.has_token_limit,has_token_limit() -> bool,?:cus_schemas | ?:cus_health_driver | ?:cus_health_engine | ?:cus_enforcement_driver | ?:cus_integration_engine | ?:cus_integration_driver | ?:cus_telemetry_driver | L5s:cus_schemas | L5:cus_health_engine | ?:cus_usage_aggregator,,postgresql | sqlalchemy | sqlmodel,pure,no,3,Check if token limit is configured.
_models,L7,cus_models,CusIntegration.is_deleted,is_deleted() -> bool,?:cus_schemas | ?:cus_health_driver | ?:cus_health_engine | ?:cus_enforcement_driver | ?:cus_integration_engine | ?:cus_integration_driver | ?:cus_telemetry_driver | L5s:cus_schemas | L5:cus_health_engine | ?:cus_usage_aggregator,,postgresql | sqlalchemy | sqlmodel,pure,no,3,Check if integration is soft-deleted.
_models,L7,cus_models,CusIntegration.is_usable,is_usable() -> bool,?:cus_schemas | ?:cus_health_driver | ?:cus_health_engine | ?:cus_enforcement_driver | ?:cus_integration_engine | ?:cus_integration_driver | ?:cus_telemetry_driver | L5s:cus_schemas | L5:cus_health_engine | ?:cus_usage_aggregator,,postgresql | sqlalchemy | sqlmodel,pure,no,7,Check if integration can be used for LLM calls.
_models,L7,cus_models,CusIntegration.mark_error,mark_error(message: str) -> None,?:cus_schemas | ?:cus_health_driver | ?:cus_health_engine | ?:cus_enforcement_driver | ?:cus_integration_engine | ?:cus_integration_driver | ?:cus_telemetry_driver | L5s:cus_schemas | L5:cus_health_engine | ?:cus_usage_aggregator,utc_now,postgresql | sqlalchemy | sqlmodel,pure,no,11,Mark integration as errored (system-detected issue).
_models,L7,cus_models,CusIntegration.update_health,"update_health(state: CusHealthState, message: Optional[str]) -> None",?:cus_schemas | ?:cus_health_driver | ?:cus_health_engine | ?:cus_enforcement_driver | ?:cus_integration_engine | ?:cus_integration_driver | ?:cus_telemetry_driver | L5s:cus_schemas | L5:cus_health_engine | ?:cus_usage_aggregator,utc_now,postgresql | sqlalchemy | sqlmodel,pure,no,10,Update health state from health check result.
_models,L7,cus_models,CusLLMUsage.is_error,is_error() -> bool,?:cus_schemas | ?:cus_health_driver | ?:cus_health_engine | ?:cus_enforcement_driver | ?:cus_integration_engine | ?:cus_integration_driver | ?:cus_telemetry_driver | L5s:cus_schemas | L5:cus_health_engine | ?:cus_usage_aggregator,,postgresql | sqlalchemy | sqlmodel,pure,no,3,Check if this call resulted in an error.
_models,L7,cus_models,CusLLMUsage.total_tokens,total_tokens() -> int,?:cus_schemas | ?:cus_health_driver | ?:cus_health_engine | ?:cus_enforcement_driver | ?:cus_integration_engine | ?:cus_integration_driver | ?:cus_telemetry_driver | L5s:cus_schemas | L5:cus_health_engine | ?:cus_usage_aggregator,,postgresql | sqlalchemy | sqlmodel,pure,no,3,Total tokens (input + output).
_models,L7,cus_models,CusLLMUsage.was_blocked,was_blocked() -> bool,?:cus_schemas | ?:cus_health_driver | ?:cus_health_engine | ?:cus_enforcement_driver | ?:cus_integration_engine | ?:cus_integration_driver | ?:cus_telemetry_driver | L5s:cus_schemas | L5:cus_health_engine | ?:cus_usage_aggregator,,postgresql | sqlalchemy | sqlmodel,pure,no,3,Check if this call was blocked by policy.
_models,L7,cus_models,CusUsageDaily.cost_dollars,cost_dollars() -> float,?:cus_schemas | ?:cus_health_driver | ?:cus_health_engine | ?:cus_enforcement_driver | ?:cus_integration_engine | ?:cus_integration_driver | ?:cus_telemetry_driver | L5s:cus_schemas | L5:cus_health_engine | ?:cus_usage_aggregator,,postgresql | sqlalchemy | sqlmodel,pure,no,3,Total cost in dollars.
_models,L7,cus_models,CusUsageDaily.success_rate,success_rate() -> float,?:cus_schemas | ?:cus_health_driver | ?:cus_health_engine | ?:cus_enforcement_driver | ?:cus_integration_engine | ?:cus_integration_driver | ?:cus_telemetry_driver | L5s:cus_schemas | L5:cus_health_engine | ?:cus_usage_aggregator,,postgresql | sqlalchemy | sqlmodel,pure,no,6,"Percentage of successful calls (non-error, non-blocked)."
_models,L7,cus_models,CusUsageDaily.total_tokens,total_tokens() -> int,?:cus_schemas | ?:cus_health_driver | ?:cus_health_engine | ?:cus_enforcement_driver | ?:cus_integration_engine | ?:cus_integration_driver | ?:cus_telemetry_driver | L5s:cus_schemas | L5:cus_health_engine | ?:cus_usage_aggregator,,postgresql | sqlalchemy | sqlmodel,pure,no,3,Total tokens (input + output).
_models,L7,cus_models,generate_uuid,generate_uuid() -> str,?:cus_schemas | ?:cus_health_driver | ?:cus_health_engine | ?:cus_enforcement_driver | ?:cus_integration_engine | ?:cus_integration_driver | ?:cus_telemetry_driver | L5s:cus_schemas | L5:cus_health_engine | ?:cus_usage_aggregator,str | uuid4,postgresql | sqlalchemy | sqlmodel,pure,no,3,Generate a new UUID string.
_models,L7,cus_models,utc_now,utc_now() -> datetime,?:cus_schemas | ?:cus_health_driver | ?:cus_health_engine | ?:cus_enforcement_driver | ?:cus_integration_engine | ?:cus_integration_driver | ?:cus_telemetry_driver | L5s:cus_schemas | L5:cus_health_engine | ?:cus_usage_aggregator,now,postgresql | sqlalchemy | sqlmodel,pure,no,3,Return current UTC time with timezone info.
_models,L7,execution_envelope,ExecutionEnvelopeModel.to_dict,"to_dict() -> Dict[str, Any]",?:evidence_sink | ?:invocation_context | ?:kernel | L5:kernel | ?:test_execution_envelope,isoformat,costsim_cb | postgresql | sqlalchemy,pure,no,50,Convert to dictionary.
_models,L7,execution_envelope,ExecutionEnvelopeStats.to_dict,"to_dict() -> Dict[str, Any]",?:evidence_sink | ?:invocation_context | ?:kernel | L5:kernel | ?:test_execution_envelope,isoformat,costsim_cb | postgresql | sqlalchemy,pure,no,15,Convert to dictionary.
_models,L7,export_bundles,generate_bundle_id,generate_bundle_id(prefix: str) -> str,L7:__init__ | ?:export_bundle_service | ?:pdf_renderer | L3:export_bundle_adapter | L5:pdf_renderer | L6:export_bundle_driver | ?:test_export_scope_resolution,uuid4,pydantic,pure,no,3,Generate unique bundle ID.
_models,L7,export_bundles,utc_now,utc_now() -> datetime,L7:__init__ | ?:export_bundle_service | ?:pdf_renderer | L3:export_bundle_adapter | L5:pdf_renderer | L6:export_bundle_driver | ?:test_export_scope_resolution,now,pydantic,pure,no,3,Return timezone-aware UTC datetime.
_models,L7,governance_job,InvalidJobTransitionError.__init__,"__init__(from_status: JobStatus, to_status: JobStatus, reason: str)",L7:__init__ | ?:job_executor | ?:governance_orchestrator | L4:job_executor | L4:governance_orchestrator | ?:test_orchestrator_invariants | ?:test_executor_invariants,__init__ | super,costsim_cb | postgresql | pydantic | sqlalchemy,pure,no,10,
_models,L7,governance_job,JobImmutableError.__init__,"__init__(job_id: UUID, status: JobStatus)",L7:__init__ | ?:job_executor | ?:governance_orchestrator | L4:job_executor | L4:governance_orchestrator | ?:test_orchestrator_invariants | ?:test_executor_invariants,__init__ | super,costsim_cb | postgresql | pydantic | sqlalchemy,pure,no,4,
_models,L7,governance_job,OrphanJobError.__init__,__init__(reason: str),L7:__init__ | ?:job_executor | ?:governance_orchestrator | L4:job_executor | L4:governance_orchestrator | ?:test_orchestrator_invariants | ?:test_executor_invariants,__init__ | super,costsim_cb | postgresql | pydantic | sqlalchemy,pure,no,3,
_models,L7,killswitch,DefaultGuardrail.evaluate,"evaluate(context: Dict[str, Any]) -> tuple[bool, Optional[str]]",?:manager | ?:__init__ | ?:incidents | ?:guard | ?:v1_proxy | ?:ops | ?:v1_killswitch | ?:replay | L3:customer_killswitch_adapter | ?:incident_write_engine,get | get_rule_config | lower,pydantic | sqlmodel,pure,no,39,Evaluate this guardrail against context.
_models,L7,killswitch,DefaultGuardrail.get_rule_config,"get_rule_config() -> Dict[str, Any]",?:manager | ?:__init__ | ?:incidents | ?:guard | ?:v1_proxy | ?:ops | ?:v1_killswitch | ?:replay | L3:customer_killswitch_adapter | ?:incident_write_engine,loads,pydantic | sqlmodel,pure,no,3,Get rule configuration from JSON.
_models,L7,killswitch,Incident.acknowledge,acknowledge(by: str),?:manager | ?:__init__ | ?:incidents | ?:guard | ?:v1_proxy | ?:ops | ?:v1_killswitch | ?:replay | L3:customer_killswitch_adapter | ?:incident_write_engine,utc_now,pydantic | sqlmodel,pure,no,5,Mark incident as acknowledged (PIN-412).
_models,L7,killswitch,Incident.add_related_call,add_related_call(call_id: str),?:manager | ?:__init__ | ?:incidents | ?:guard | ?:v1_proxy | ?:ops | ?:v1_killswitch | ?:replay | L3:customer_killswitch_adapter | ?:incident_write_engine,append | dumps | get_related_call_ids | len,pydantic | sqlmodel,pure,no,7,Add a related call ID.
_models,L7,killswitch,Incident.get_inflection_context,get_inflection_context() -> dict,?:manager | ?:__init__ | ?:incidents | ?:guard | ?:v1_proxy | ?:ops | ?:v1_killswitch | ?:replay | L3:customer_killswitch_adapter | ?:incident_write_engine,loads,pydantic | sqlmodel,pure,no,5,Get inflection context from JSON (GAP-024).
_models,L7,killswitch,Incident.get_related_call_ids,get_related_call_ids() -> List[str],?:manager | ?:__init__ | ?:incidents | ?:guard | ?:v1_proxy | ?:ops | ?:v1_killswitch | ?:replay | L3:customer_killswitch_adapter | ?:incident_write_engine,loads,pydantic | sqlmodel,pure,no,5,Get list of related call IDs.
_models,L7,killswitch,Incident.resolve,"resolve(by: str, resolution_method: Optional[str])",?:manager | ?:__init__ | ?:incidents | ?:guard | ?:v1_proxy | ?:ops | ?:v1_killswitch | ?:replay | L3:customer_killswitch_adapter | ?:incident_write_engine,int | total_seconds | utc_now,pydantic | sqlmodel,pure,no,17,Mark incident as resolved.
_models,L7,killswitch,Incident.set_inflection_context,set_inflection_context(context: dict) -> None,?:manager | ?:__init__ | ?:incidents | ?:guard | ?:v1_proxy | ?:ops | ?:v1_killswitch | ?:replay | L3:customer_killswitch_adapter | ?:incident_write_engine,dumps,pydantic | sqlmodel,pure,no,3,Set inflection context as JSON (GAP-024).
_models,L7,killswitch,Incident.set_inflection_point,"set_inflection_point(step_index: Optional[int], timestamp: Optional[datetime], context: Optional[dict]) -> None",?:manager | ?:__init__ | ?:incidents | ?:guard | ?:v1_proxy | ?:ops | ?:v1_killswitch | ?:replay | L3:customer_killswitch_adapter | ?:incident_write_engine,set_inflection_context | utc_now,pydantic | sqlmodel,pure,no,23,Set inflection point metadata (GAP-024).
_models,L7,killswitch,IncidentEvent.get_data,"get_data() -> Dict[str, Any]",?:manager | ?:__init__ | ?:incidents | ?:guard | ?:v1_proxy | ?:ops | ?:v1_killswitch | ?:replay | L3:customer_killswitch_adapter | ?:incident_write_engine,loads,pydantic | sqlmodel,pure,no,5,Get event data from JSON.
_models,L7,killswitch,IncidentEvent.set_data,"set_data(data: Dict[str, Any])",?:manager | ?:__init__ | ?:incidents | ?:guard | ?:v1_proxy | ?:ops | ?:v1_killswitch | ?:replay | L3:customer_killswitch_adapter | ?:incident_write_engine,dumps,pydantic | sqlmodel,pure,no,3,Set event data as JSON.
_models,L7,killswitch,KillSwitchState.freeze,"freeze(by: str, reason: str, auto: bool, trigger: Optional[str])",?:manager | ?:__init__ | ?:incidents | ?:guard | ?:v1_proxy | ?:ops | ?:v1_killswitch | ?:replay | L3:customer_killswitch_adapter | ?:incident_write_engine,utc_now,pydantic | sqlmodel,pure,no,11,Freeze this entity.
_models,L7,killswitch,KillSwitchState.unfreeze,unfreeze(by: str),?:manager | ?:__init__ | ?:incidents | ?:guard | ?:v1_proxy | ?:ops | ?:v1_killswitch | ?:replay | L3:customer_killswitch_adapter | ?:incident_write_engine,utc_now,pydantic | sqlmodel,pure,no,6,Unfreeze this entity.
_models,L7,killswitch,ProxyCall.get_policy_decisions,"get_policy_decisions() -> List[Dict[str, Any]]",?:manager | ?:__init__ | ?:incidents | ?:guard | ?:v1_proxy | ?:ops | ?:v1_killswitch | ?:replay | L3:customer_killswitch_adapter | ?:incident_write_engine,loads,pydantic | sqlmodel,pure,no,5,Get policy decisions from JSON.
_models,L7,killswitch,ProxyCall.hash_request,hash_request(request_body: dict) -> str,?:manager | ?:__init__ | ?:incidents | ?:guard | ?:v1_proxy | ?:ops | ?:v1_killswitch | ?:replay | L3:customer_killswitch_adapter | ?:incident_write_engine,dumps | encode | hexdigest | sha256,pydantic | sqlmodel,pure,no,4,Generate deterministic hash of request for matching.
_models,L7,killswitch,ProxyCall.hash_response,hash_response(response_body: dict) -> str,?:manager | ?:__init__ | ?:incidents | ?:guard | ?:v1_proxy | ?:ops | ?:v1_killswitch | ?:replay | L3:customer_killswitch_adapter | ?:incident_write_engine,dumps | encode | hexdigest | sha256,pydantic | sqlmodel,pure,no,4,Generate deterministic hash of response.
_models,L7,killswitch,ProxyCall.set_policy_decisions,"set_policy_decisions(decisions: List[Dict[str, Any]])",?:manager | ?:__init__ | ?:incidents | ?:guard | ?:v1_proxy | ?:ops | ?:v1_killswitch | ?:replay | L3:customer_killswitch_adapter | ?:incident_write_engine,dumps,pydantic | sqlmodel,pure,no,3,Set policy decisions as JSON.
_models,L7,killswitch,generate_uuid,generate_uuid() -> str,?:manager | ?:__init__ | ?:incidents | ?:guard | ?:v1_proxy | ?:ops | ?:v1_killswitch | ?:replay | L3:customer_killswitch_adapter | ?:incident_write_engine,str | uuid4,pydantic | sqlmodel,pure,no,2,
_models,L7,killswitch,utc_now,utc_now() -> datetime,?:manager | ?:__init__ | ?:incidents | ?:guard | ?:v1_proxy | ?:ops | ?:v1_killswitch | ?:replay | L3:customer_killswitch_adapter | ?:incident_write_engine,now,pydantic | sqlmodel,pure,no,2,
_models,L7,knowledge_lifecycle,KnowledgePlaneLifecycleState.allows_modifications,allows_modifications() -> bool,?:lifecycle_worker | ?:knowledge_lifecycle_manager | ?:knowledge_sdk | ?:onboarding | ?:offboarding | ?:base | L4:lifecycle_stages_base | L4:onboarding | L4:offboarding | ?:test_async_job_coordination,is_onboarding | is_operational,,pure,no,3,Check if the knowledge plane configuration can be modified.
_models,L7,knowledge_lifecycle,KnowledgePlaneLifecycleState.allows_new_runs,allows_new_runs() -> bool,?:lifecycle_worker | ?:knowledge_lifecycle_manager | ?:knowledge_sdk | ?:onboarding | ?:offboarding | ?:base | L4:lifecycle_stages_base | L4:onboarding | L4:offboarding | ?:test_async_job_coordination,,,pure,no,3,Check if new runs can use this knowledge plane.
_models,L7,knowledge_lifecycle,KnowledgePlaneLifecycleState.allows_policy_binding,allows_policy_binding() -> bool,?:lifecycle_worker | ?:knowledge_lifecycle_manager | ?:knowledge_sdk | ?:onboarding | ?:offboarding | ?:base | L4:lifecycle_stages_base | L4:onboarding | L4:offboarding | ?:test_async_job_coordination,,,pure,no,6,Check if policies can be bound to this knowledge plane.
_models,L7,knowledge_lifecycle,KnowledgePlaneLifecycleState.allows_queries,allows_queries() -> bool,?:lifecycle_worker | ?:knowledge_lifecycle_manager | ?:knowledge_sdk | ?:onboarding | ?:offboarding | ?:base | L4:lifecycle_stages_base | L4:onboarding | L4:offboarding | ?:test_async_job_coordination,,,pure,no,3,Check if queries against this knowledge plane are allowed.
_models,L7,knowledge_lifecycle,KnowledgePlaneLifecycleState.is_failed,is_failed() -> bool,?:lifecycle_worker | ?:knowledge_lifecycle_manager | ?:knowledge_sdk | ?:onboarding | ?:offboarding | ?:base | L4:lifecycle_stages_base | L4:onboarding | L4:offboarding | ?:test_async_job_coordination,,,pure,no,3,Check if state is a failure state.
_models,L7,knowledge_lifecycle,KnowledgePlaneLifecycleState.is_offboarding,is_offboarding() -> bool,?:lifecycle_worker | ?:knowledge_lifecycle_manager | ?:knowledge_sdk | ?:onboarding | ?:offboarding | ?:base | L4:lifecycle_stages_base | L4:onboarding | L4:offboarding | ?:test_async_job_coordination,,,pure,no,3,Check if state is in offboarding phase.
_models,L7,knowledge_lifecycle,KnowledgePlaneLifecycleState.is_onboarding,is_onboarding() -> bool,?:lifecycle_worker | ?:knowledge_lifecycle_manager | ?:knowledge_sdk | ?:onboarding | ?:offboarding | ?:base | L4:lifecycle_stages_base | L4:onboarding | L4:offboarding | ?:test_async_job_coordination,,,pure,no,3,Check if state is in onboarding phase.
_models,L7,knowledge_lifecycle,KnowledgePlaneLifecycleState.is_operational,is_operational() -> bool,?:lifecycle_worker | ?:knowledge_lifecycle_manager | ?:knowledge_sdk | ?:onboarding | ?:offboarding | ?:base | L4:lifecycle_stages_base | L4:onboarding | L4:offboarding | ?:test_async_job_coordination,,,pure,no,3,Check if state is operational (ACTIVE).
_models,L7,knowledge_lifecycle,KnowledgePlaneLifecycleState.is_terminal,is_terminal() -> bool,?:lifecycle_worker | ?:knowledge_lifecycle_manager | ?:knowledge_sdk | ?:onboarding | ?:offboarding | ?:base | L4:lifecycle_stages_base | L4:onboarding | L4:offboarding | ?:test_async_job_coordination,,,pure,no,3,Check if state is terminal (no further transitions except FAILED).
_models,L7,knowledge_lifecycle,KnowledgePlaneLifecycleState.requires_async_job,requires_async_job() -> bool,?:lifecycle_worker | ?:knowledge_lifecycle_manager | ?:knowledge_sdk | ?:onboarding | ?:offboarding | ?:base | L4:lifecycle_stages_base | L4:onboarding | L4:offboarding | ?:test_async_job_coordination,,,pure,no,7,Check if this state involves an async background job.
_models,L7,knowledge_lifecycle,KnowledgePlaneLifecycleState.requires_policy_gate,requires_policy_gate() -> bool,?:lifecycle_worker | ?:knowledge_lifecycle_manager | ?:knowledge_sdk | ?:onboarding | ?:offboarding | ?:base | L4:lifecycle_stages_base | L4:onboarding | L4:offboarding | ?:test_async_job_coordination,,,pure,no,7,Check if transition FROM this state requires policy gate (GAP-087).
_models,L7,knowledge_lifecycle,TransitionResult.__bool__,__bool__() -> bool,?:lifecycle_worker | ?:knowledge_lifecycle_manager | ?:knowledge_sdk | ?:onboarding | ?:offboarding | ?:base | L4:lifecycle_stages_base | L4:onboarding | L4:offboarding | ?:test_async_job_coordination,,,pure,no,2,
_models,L7,knowledge_lifecycle,get_action_for_transition,"get_action_for_transition(from_state: KnowledgePlaneLifecycleState, to_state: KnowledgePlaneLifecycleState) -> Optional[str]",?:lifecycle_worker | ?:knowledge_lifecycle_manager | ?:knowledge_sdk | ?:onboarding | ?:offboarding | ?:base | L4:lifecycle_stages_base | L4:onboarding | L4:offboarding | ?:test_async_job_coordination,items,,pure,no,9,"Get the action name for a given transition, if valid."
_models,L7,knowledge_lifecycle,get_next_offboarding_state,get_next_offboarding_state(current: KnowledgePlaneLifecycleState) -> Optional[KnowledgePlaneLifecycleState],?:lifecycle_worker | ?:knowledge_lifecycle_manager | ?:knowledge_sdk | ?:onboarding | ?:offboarding | ?:base | L4:lifecycle_stages_base | L4:onboarding | L4:offboarding | ?:test_async_job_coordination,index | len,,pure,no,18,"Get the next state in the offboarding path, if applicable."
_models,L7,knowledge_lifecycle,get_next_onboarding_state,get_next_onboarding_state(current: KnowledgePlaneLifecycleState) -> Optional[KnowledgePlaneLifecycleState],?:lifecycle_worker | ?:knowledge_lifecycle_manager | ?:knowledge_sdk | ?:onboarding | ?:offboarding | ?:base | L4:lifecycle_stages_base | L4:onboarding | L4:offboarding | ?:test_async_job_coordination,index | len,,pure,no,21,"Get the next state in the onboarding path, if applicable."
