domain,layer,folder,filename,rel_path,lines,purpose,functions,fn_count,async_count,classes,cls_count,calls_l5,calls_l5_schema,calls_l6,calls_l7,cross_domain,external_deps,called_by,caller_layers,header_callers,header_allowed_imports,header_forbidden_imports,linkage_chain,disposition
_models,L7,models,knowledge_lifecycle,backend/app/models/knowledge_lifecycle.py,496,GAP-089 Knowledge Plane Lifecycle State Machine,is_valid_transition | get_valid_transitions | validate_transition | get_action_for_transition | get_transition_for_action | get_next_onboarding_state | get_next_offboarding_state,7,0,KnowledgePlaneLifecycleState | LifecycleAction | TransitionResult,3,,,,,,,L4:offboarding | L4:onboarding | L4:lifecycle_stages_base | ?:lifecycle_worker | ?:knowledge_lifecycle_manager | ?:knowledge_sdk | ?:base | ?:offboarding | ?:onboarding | ?:test_async_job_coordination,? + L4,"KnowledgeLifecycleManager, SDK facade, policy gates",stdlib only,"L1, L2, L3, L5, L6",? + L4 → THIS(L7),
_models,L7,models,lessons_learned,backend/app/models/lessons_learned.py,150,Lessons learned data model for policy domain intelligence,,0,0,LessonType | LessonStatus | LessonSeverity | LessonLearned | LessonSummary | LessonDetail,6,,,,,,postgresql | sqlalchemy | sqlmodel,,,"LessonsLearnedEngine (L4), API facades (L2)","sqlalchemy, sqlmodel","L1, L2, L3, L4, L5",THIS(L7),
_models,L7,models,log_exports,backend/app/models/log_exports.py,138,Log Exports model for LOGS Domain V2 (O5 evidence bundles),utc_now | generate_uuid,2,0,ExportScope | ExportFormat | ExportOrigin | ExportStatus | LogExport,5,,,,,,sqlmodel,L6:logs_domain_store | ?:logs_facade,? + L6,"logs API, LogExportService",None (foundational),"L1, L2, L3, L4, L5",? + L6 → THIS(L7),
_models,L7,models,logs_records,backend/app/models/logs_records.py,226,LLM Run Records and System Records models for Logs domain (PIN-413),utc_now | generate_uuid,2,0,ExecutionStatus | RecordSource | SystemComponent | SystemEventType | SystemSeverity | SystemCausedBy | LLMRunRecord | SystemRecord,8,,,,,,postgresql | sqlalchemy | sqlmodel,?:main | L6:logs_domain_store | ?:runner | ?:pool | L7:__init__ | ?:logs_facade,? + L6 + L7,"runtime_projections/logs/*, worker capture",None (foundational),"L1, L2, L3, L4, L5",? + L6 + L7 → THIS(L7),
_models,L7,models,m10_recovery,backend/app/models/m10_recovery.py,348,M10 recovery data models,,0,0,SuggestionInput | SuggestionAction | SuggestionProvenance,3,,,,,,orm | postgresql | sql | sqlalchemy,?:test_m10_recovery_enhanced,?,"recovery services, workers",None (foundational),"L1, L2, L3, L4, L5",? → THIS(L7),
_models,L7,models,monitor_config,backend/app/models/monitor_config.py,191,Define what signals to monitor during run execution,,0,0,MonitorMetric | MonitorConfig | MonitorConfigCreate | MonitorConfigUpdate | MonitorConfigResponse,5,,,,,,pydantic | sqlmodel,?:test_inspection_constraints | ?:test_monitor_enhancements,?,"policy/prevention_engine.py, api/policy_monitors.py","L5, L6","L1, L2, L3",? → THIS(L7),
_models,L7,models,override_authority,backend/app/models/override_authority.py,285,Define emergency override rules for policies,,0,0,OverrideAuthority | OverrideRecord | OverrideAuthorityCreate | OverrideAuthorityUpdate | ApplyOverrideRequest | OverrideAuthorityResponse | OverrideRecordResponse,7,,,,,,pydantic | sqlmodel,?:test_override_authority,?,"policy/prevention_engine.py, api/policy_overrides.py","L5, L6","L1, L2, L3",? → THIS(L7),
_models,L7,models,policy,backend/app/models/policy.py,162,Policy data models (DB tables),,0,0,PolicyProposal | PolicyVersion | PolicyProposalCreate | PolicyProposalResponse | PolicyApprovalRequest | PolicyVersionResponse,6,,,,,,orm | postgresql | pydantic | sql | sqlalchemy,L3:customer_policies_adapter | ?:guard | ?:policy | ?:policy_layer | ?:policy_proposals | ?:recovery | ?:workers | ?:rbac_engine | ?:state_resolver | L2:guard,? + L2 + L3 + L4 + L5 + L6,policy/*,None (foundational),"L1, L2, L3, L4, L5",? + L2 + L3 → THIS(L7),
_models,L7,models,policy_control_plane,backend/app/models/policy_control_plane.py,439,Policy control-plane models (PIN-412),utc_now | generate_uuid,2,0,EnforcementMode | PolicyScope | LimitScope | PolicyRuleStatus | PolicySource | RuleType | EnforcementAction | LimitCategory | LimitEnforcement | LimitConsequence | ResetPeriod | LimitStatus | BreachType | PolicyRule | PolicyEnforcement | Limit | LimitBreach | IntegrityStatus | PolicyRuleIntegrity | LimitIntegrity,20,,,,,,postgresql | sqlalchemy | sqlmodel,?:policy | ?:policy_limits_crud | L2:policy | L2:policy_limits_crud | L6:limits_read_driver | L6:override_driver | L6:policy_limits_driver | L6:threshold_driver | L6:overview_facade_driver | L5:policy_limits_engine,? + L2 + L4 + L5 + L6 + L7,"policy/*, api/policies/*",None (foundational),"L1, L2, L3, L4, L5",? + L2 + L5 + L6 → THIS(L7),
_models,L7,models,policy_precedence,backend/app/models/policy_precedence.py,145,Define policy precedence and conflict resolution strategies,,0,0,ConflictStrategy | BindingMoment | PolicyPrecedence | ArbitrationResult | PolicyPrecedenceCreate | PolicyPrecedenceUpdate | PolicyPrecedenceResponse,7,,,,,,pydantic | sqlmodel,L6:arbitrator | ?:arbitrator | ?:test_control_action_enhancements,? + L6,"policy/arbitrator.py, api/policy_precedence.py","L5, L6","L1, L2, L3",? + L6 → THIS(L7),
_models,L7,models,policy_scope,backend/app/models/policy_scope.py,267,"Define policy scope selectors for targeting runs by agent, API key, or human actor",,0,0,ScopeType | PolicyScope | PolicyScopeCreate | PolicyScopeUpdate | PolicyScopeResponse,5,,,,,,pydantic | sqlmodel,L6:scope_resolver | ?:scope_resolver | ?:test_export_scope_resolution | ?:test_scope_selector,? + L6,"policy/scope_resolver.py, api/policy_scopes.py","L5, L6","L1, L2, L3",? + L6 → THIS(L7),
_models,L7,models,policy_snapshot,backend/app/models/policy_snapshot.py,205,Immutable policy snapshot for run-time governance,utc_now,1,0,PolicySnapshot | PolicySnapshotCreate | PolicySnapshotResponse | ThresholdSnapshot,4,,,,,,pydantic | sqlmodel,L5:prevention_engine | L7:__init__ | ?:prevention_engine | ?:test_threshold_snapshot_hash,? + L5 + L7,"worker/runner.py, policy/engine.py",None (foundational),"L1, L2, L3, L4, L5",? + L5 + L7 → THIS(L7),
_models,L7,models,prediction,backend/app/models/prediction.py,106,Prediction data models,,0,0,PredictionEvent | PredictionEventCreate | PredictionEventResponse,3,,,,,,orm | postgresql | pydantic | sql | sqlalchemy,?:predictions | L2:predictions | L5:prediction | L6:prediction_driver | ?:api | ?:prediction | ?:test_pb_s5_prediction,? + L2 + L5 + L6,predictions/*,None (foundational),"L1, L2, L3, L4, L5",? + L2 + L5 + L6 → THIS(L7),
_models,L7,models,retrieval_evidence,backend/app/models/retrieval_evidence.py,119,Audit log model for mediated data access,utc_now | generate_uuid,2,0,RetrievalEvidence,1,,,,,,postgresql | sqlalchemy | sqlmodel,?:test_retrieval_evidence,?,"RetrievalMediator (GAP-065), export services",L6 (sqlmodel),"L1, L2, L3",? → THIS(L7),
_models,L7,models,run_lifecycle,backend/app/models/run_lifecycle.py,153,Run lifecycle enums and models for governance,get_lifecycle_state,1,0,RunTerminationReason | RunStatus | RunLifecycleState | PolicyViolationType | ViolationSeverity | RunViolationInfo | RunTerminationInfo,7,,,,,,pydantic,L7:__init__,L7,"worker/runner.py, services/*, api/*",None (foundational),"L1, L2, L3, L4, L5",L7 → THIS(L7),
_models,L7,models,tenant,backend/app/models/tenant.py,738,Tenant data models,utc_now | generate_uuid,2,0,Tenant | User | TenantMembership | Invitation | APIKey | Subscription | UsageRecord | WorkerRegistry | WorkerConfig | WorkerRun | SupportTicket | AuditLog | FounderAction,13,,,,,,onboarding_state | sqlmodel | tier_gating,L3:runtime_adapter | ?:M17_internal_worker | ?:aos_accounts | ?:guard | ?:ops | ?:policy_layer | ?:predictions | ?:runtime | ?:v1_killswitch | ?:v1_proxy,? + L2 + L3 + L4 + L5 + L6 + L7,tenant services,None (foundational),"L1, L2, L3, L4, L5",? + L3 → THIS(L7),
_models,L7,models,threshold_signal,backend/app/models/threshold_signal.py,203,Record near-threshold and breach events for alerting and audit,,0,0,SignalType | ThresholdMetric | ThresholdSignal | ThresholdSignalResponse | ThresholdSignalListResponse,5,,,,,,pydantic | sqlmodel,L4:alert_emitter | ?:alert_emitter | ?:test_control_action_enhancements | ?:test_limit_enhancements,? + L4,"policy/prevention_engine.py, services/alert_emitter.py","L5, L6","L1, L2, L3",? + L4 → THIS(L7),
account,L5,L5_engines,accounts_facade,backend/app/hoc/cus/account/L5_engines/accounts_facade.py,1140,Accounts domain facade - unified entry point for account management,get_accounts_facade,1,0,ProjectSummaryResult | ProjectsListResult | ProjectDetailResult | UserSummaryResult | UsersListResult | UserDetailResult | TenantUserResult | TenantUsersListResult | ProfileResult | ProfileUpdateResult | BillingSummaryResult | InvoiceSummaryResult | InvoiceListResult | SupportContactResult | SupportTicketResult | SupportTicketListResult | InvitationResult | InvitationListResult | AcceptInvitationResult | AccountsErrorResult | AccountsFacade,21,,,accounts_facade_driver,,,__future__ | asyncio,?:aos_accounts | L2:aos_accounts | L5:__init__ | L4:account_handler,? + L2 + L4 + L5,L2 accounts API (accounts.py),"L5, L6","L1, L2, L3, sqlalchemy (runtime)",? + L2 + L4 + L5 → THIS(L5) → L6,
account,L5,L5_engines,billing_provider,backend/app/hoc/cus/account/L5_engines/billing_provider.py,251,Phase-6 BillingProvider protocol and MockBillingProvider,get_billing_provider | set_billing_provider,2,0,BillingProvider | MockBillingProvider,2,,,,,,limits | plan | state,,,"billing middleware, billing APIs, runtime enforcement","L5, L6","L1, L2, L3, sqlalchemy (runtime)",THIS(L5),
account,L5,L5_engines,email_verification,backend/app/hoc/cus/account/L5_engines/email_verification.py,302,Email OTP verification engine for customer onboarding,get_email_verification_service,1,0,VerificationResult | EmailVerificationError | EmailVerificationService,3,,,,,,httpx | redis,L5:__init__,L5,onboarding.py (auth flow),"L5, L6","L1, L2, L3, sqlalchemy (runtime)",L5 → THIS(L5),
account,L5,L5_engines,identity_resolver,backend/app/hoc/cus/account/L5_engines/identity_resolver.py,207,Identity resolution from various providers,create_default_identity_chain,1,0,IdentityResolver | ClerkIdentityResolver | APIKeyIdentityResolver | SystemIdentityResolver | IdentityChain,5,,,,,,iam_service | jwt,?:__init__,?,"IAMService, Auth middleware","L5, L6","L1, L2, L3, sqlalchemy (runtime)",? → THIS(L5),
account,L5,L5_engines,notifications_facade,backend/app/hoc/cus/account/L5_engines/notifications_facade.py,480,Notifications Facade - Centralized access to notification operations,get_notifications_facade,1,0,NotificationChannel | NotificationPriority | NotificationStatus | NotificationInfo | ChannelInfo | NotificationPreferences | NotificationsFacade,7,,,,,,,L5:__init__ | L4:account_handler,L4 + L5,"L2 notifications.py API, SDK, Worker","L5, L6","L1, L2, L3, sqlalchemy (runtime)",L4 + L5 → THIS(L5),
account,L5,L5_engines,profile,backend/app/hoc/cus/account/L5_engines/profile.py,459,Governance Profile configuration and validation,_get_bool_env | get_governance_profile | load_governance_config | validate_governance_config | get_governance_config | reset_governance_config | validate_governance_at_startup,7,0,GovernanceProfile | GovernanceConfig | GovernanceConfigError,3,,,,,,,?:aos_accounts | ?:reactor_initializer | L2:aos_accounts | ?:main | L4:profile_policy_mode | ?:failure_mode_handler | ?:profile | ?:boot_guard | ?:test_stubs,? + L2 + L4,"main.py (L2), workers (L5)","L5, L6","L1, L2, L3, sqlalchemy (runtime)",? + L2 + L4 → THIS(L5),
account,L5,L5_engines,tenant_engine,backend/app/hoc/cus/account/L5_engines/tenant_engine.py,582,Tenant domain engine - business logic for tenant operations,get_tenant_engine,1,0,TenantEngineError | QuotaExceededError | TenantEngine,3,,,tenant_driver,tenant,,__future__ | sqlmodel | time,L5:__init__,L5,"L2 APIs, L5 workers","L5, L6","L1, L2, L3, sqlalchemy (runtime)",L5 → THIS(L5) → L6 + L7,
account,L5,L5_engines,user_write_engine,backend/app/hoc/cus/account/L5_engines/user_write_engine.py,91,User write operations (L5 engine over L6 driver),,0,0,UserWriteService,1,,,user_write_driver,tenant,,sqlmodel,L5:__init__,L5,api/onboarding.py,"L5, L6","L1, L2, L3, sqlalchemy (runtime)",L5 → THIS(L5) → L6 + L7,
account,L5,L5_support,crm_validator_engine,backend/app/hoc/cus/account/L5_support/CRM/engines/crm_validator_engine.py,739,"Issue Validator - pure analysis, advisory verdicts (pure business logic)",,0,0,IssueType | Severity | RecommendedAction | IssueSource | ValidatorInput | ValidatorVerdict | ValidatorErrorType | ValidatorError | ValidatorService,9,,,,,,,L4:contract_engine | L4:__init__,L4,"L3 (adapters), L4 (orchestrators)","L5, L6","L1, L2, L3, sqlalchemy (runtime)",L4 → THIS(L5),
account,L5,L5_support,validator_engine,backend/app/hoc/cus/account/L5_support/CRM/engines/validator_engine.py,735,"Issue Validator engine - pure analysis, advisory verdicts",,0,0,IssueType | Severity | RecommendedAction | IssueSource | ValidatorInput | ValidatorVerdict | ValidatorErrorType | ValidatorError | ValidatorService,9,,,,,,,?:__init__ | ?:aurora_semantic_validator,?,"L3 (adapters), L2 (governance APIs)",L6,"L1, L2, L3, L5",? → THIS(L5),
account,L6,L6_drivers,accounts_facade_driver,backend/app/hoc/cus/account/L6_drivers/accounts_facade_driver.py,954,Accounts domain facade driver - pure data access — L6 DOES NOT COMMIT,get_accounts_facade_driver,1,0,TenantSnapshot | TenantDetailSnapshot | UserSnapshot | UserDetailSnapshot | MembershipSnapshot | ProfileSnapshot | SubscriptionSnapshot | InvitationSnapshot | TicketSnapshot | AccountsFacadeDriver,10,,,,tenant,,__future__ | asyncio | sqlalchemy,L5:accounts_facade | L6:__init__,L5 + L6,"accounts_facade.py (L5), must own transaction boundary","L6, L7 (models)",,L5 + L6 → THIS(L6) → L7,
account,L6,L6_drivers,tenant_driver,backend/app/hoc/cus/account/L6_drivers/tenant_driver.py,574,Tenant domain driver - pure data access for tenant operations — L6 DOES NOT COMMIT,get_tenant_driver,1,0,TenantCoreSnapshot | RunCountSnapshot | APIKeySnapshot | UsageRecordSnapshot | RunSnapshot | TenantDriver,6,,,,tenant,,__future__ | sqlmodel | time,L5:tenant_engine | L6:__init__,L5 + L6,"tenant_engine.py (L5), must provide session, must own transaction boundary","L6, L7 (models)",,L5 + L6 → THIS(L6) → L7,
account,L6,L6_drivers,user_write_driver,backend/app/hoc/cus/account/L6_drivers/user_write_driver.py,137,Data access for user write operations,get_user_write_driver,1,0,UserWriteDriver,1,,,,tenant,,sqlmodel | time,L5:user_write_engine | L6:__init__,L5 + L6,user_write_engine.py (L5),"L6, L7 (models)",,L5 + L6 → THIS(L6) → L7,
activity,L5,L5_engines,activity_enums,backend/app/hoc/cus/activity/L5_engines/activity_enums.py,120,Canonical enums for activity domain - owned by engines,,0,0,SignalType | SeverityLevel | RunState | RiskType | EvidenceHealth,5,,,,,,,L5:activity_facade,L5,"activity_facade.py, signal engines",none (pure enums),"all (pure enums, no imports needed)",L5 → THIS(L5),
activity,L5,L5_engines,activity_facade,backend/app/hoc/cus/activity/L5_engines/activity_facade.py,1387,Activity Facade - Centralized access to activity domain operations,get_activity_facade,1,0,PolicyContextResult | RunSummaryResult | RunSummaryV2Result | RunListResult | RunsResult | RunDetailResult | RunEvidenceResult | RunProofResult | StatusCount | StatusSummaryResult | SignalProjectionResult | SignalsResult | MetricsResult | ThresholdSignalResult | ThresholdSignalsResult | RiskSignalsResult | ActivityFacade,17,activity_enums | attention_ranking_engine | cost_analysis_engine | pattern_detection_engine | signal_feedback_engine | signal_identity,,activity_read_driver,,,__future__ | asyncio,?:activity | L5:__init__ | L3:customer_activity_adapter | L5:customer_activity_adapter | L4:activity_handler,? + L3 + L4 + L5,app.api.activity (L2),"L5, L6","L1, L2, L3, sqlalchemy (runtime)",? + L3 + L4 + L5 → THIS(L5) → L5 + L6,
activity,L5,L5_engines,attention_ranking_engine,backend/app/hoc/cus/activity/L5_engines/attention_ranking_engine.py,99,Attention ranking engine for activity signals,,0,0,AttentionSignal | AttentionQueueResult | AttentionRankingService,3,,,,,,time,L5:activity_facade,L5,activity_facade.py,"L5, L6","L1, L2, L3, sqlalchemy (runtime)",L5 → THIS(L5),
activity,L5,L5_engines,cost_analysis_engine,backend/app/hoc/cus/activity/L5_engines/cost_analysis_engine.py,93,Cost analysis engine for activity signals,,0,0,CostAnomaly | CostAnalysisResult | CostAnalysisService,3,,,,,,time,L5:activity_facade,L5,activity_facade.py,"L5, L6","L1, L2, L3, sqlalchemy (runtime)",L5 → THIS(L5),
activity,L5,L5_engines,cus_telemetry_service,backend/app/hoc/cus/activity/L5_engines/cus_telemetry_service.py,77,Customer telemetry service - LLM usage ingestion and reporting,get_cus_telemetry_service,1,0,,0,,,,,,cus_telemetry_engine,?:cus_telemetry | L4:activity_handler | ?:cus_telemetry_service | ?:shim_guard,? + L4,cus_telemetry.py,L6 (drivers),"L1, L2, L3, sqlalchemy direct",? + L4 → THIS(L5),
activity,L5,L5_engines,pattern_detection_engine,backend/app/hoc/cus/activity/L5_engines/pattern_detection_engine.py,92,Pattern detection engine for activity signals,,0,0,DetectedPattern | PatternDetectionResult | PatternDetectionService,3,,,,,,time,L5:activity_facade,L5,activity_facade.py,"L5, L6","L1, L2, L3, sqlalchemy (runtime)",L5 → THIS(L5),
activity,L5,L5_engines,signal_feedback_engine,backend/app/hoc/cus/activity/L5_engines/signal_feedback_engine.py,140,Signal feedback engine for acknowledging/suppressing signals,,0,0,AcknowledgeResult | SuppressResult | SignalFeedbackStatus | SignalFeedbackService,4,,,,,,time,L5:activity_facade | L4:activity_handler,L4 + L5,activity_facade.py,"L5, L6","L1, L2, L3, sqlalchemy (runtime)",L4 + L5 → THIS(L5),
activity,L5,L5_engines,signal_identity,backend/app/hoc/cus/activity/L5_engines/signal_identity.py,79,Signal identity computation for deduplication,compute_signal_fingerprint_from_row | compute_signal_fingerprint,2,0,,0,,,,,,,?:activity | L5:activity_facade | L4:activity_handler | ?:__init__ | ?:activity_facade | ?:test_signal_feedback,? + L4 + L5,"activity_facade.py, signal engines",L5,"L1, L2, L3, L6, sqlalchemy (runtime)",? + L4 + L5 → THIS(L5),
activity,L6,L6_drivers,activity_read_driver,backend/app/hoc/cus/activity/L6_drivers/activity_read_driver.py,344,Activity read data access operations,get_activity_read_driver,1,0,ActivityReadDriver,1,,,,,,asyncio | sqlalchemy,L5:activity_facade,L5,activity_facade.py (L5 engine),"L7 (models), sqlalchemy","L1, L2, L3, L4, L5",L5 → THIS(L6),
activity,L6,L6_drivers,orphan_recovery,backend/app/hoc/cus/activity/L6_drivers/orphan_recovery.py,259,"Orphan detection logic, PB-S2 truth guarantee",detect_orphaned_runs | mark_run_as_crashed | recover_orphaned_runs | get_crash_recovery_summary,4,4,,0,,,,tenant,,asyncio | db | infra | sqlalchemy,?:main | ?:check_priority5_intent,?,"L5 workers (startup), L7 ops scripts","L6, L7 (models)",,? → THIS(L6) → L7,
activity,L6,L6_drivers,run_signal_service,backend/app/hoc/cus/activity/L6_drivers/run_signal_service.py,188,RunSignalService - updates run risk levels based on threshold signals,,0,0,RunSignalService,1,,,,,,sqlalchemy,L6:threshold_driver | ?:llm_threshold_service,? + L6,"threshold_driver.py, llm_threshold_driver.py","L6, L7 (models)","L1, L2, L3, L5",? + L6 → THIS(L6),
analytics,L5,L5_engines,ai_console_panel_engine,backend/app/hoc/cus/analytics/L5_engines/ai_console_panel_engine.py,338,Main orchestration engine for panel evaluation,create_panel_engine | get_panel_engine,2,2,AIConsolePanelEngine,1,,,,,,panel_consistency_checker | panel_dependency_resolver | panel_metrics_emitter | panel_response_assembler | panel_signal_collector | panel_slot_evaluator | panel_spec_loader | panel_types | panel_verification_engine,?:__init__,?,L2 APIs (ai-console),"L5, L6","L1, L2, L3, sqlalchemy (runtime)",? → THIS(L5),
